预算档,C,成本族,L_ctx,N*,D*,Q*,L*,状态,C_train占比,C_Q占比,C_attn占比
中(1e22),1e+22,指数型,32768,5.52500431044662,136.79617970425716,0.9999999712377503,2.245092439122578,R2_质量饱和态,0.45347968951119083,0.05119956164751862,0.49532074886342325
中(1e22),1e+22,指数型,131072,3.5904949303235942,83.74620041290378,0.9999999712377503,2.331472065436723,R2_质量饱和态,0.18041418480983681,0.03134421414439894,0.7882416010464978
中(1e22),1e+22,幂函数型,2048,7.433393806324301,191.76935948114755,0.9999999712377503,2.1909874166192425,R2_质量饱和态,0.8552983014059644,0.08631333455138894,0.058388364042647176
中(1e22),1e+22,幂函数型,4096,7.231025615645973,185.83663633116473,0.9999999712377503,2.195847312793096,R2_质量饱和态,0.8062736865816824,0.08364307941036588,0.11008323400795236
中(1e22),1e+22,幂函数型,8192,6.873810367532794,175.42072819658028,0.9999999712377503,2.20485841316144,R2_质量饱和态,0.7234852920946835,0.07895499072972707,0.19755971709465492
中(1e22),1e+22,幂函数型,32768,5.4976327925669075,136.02485551077123,0.9999999712377503,2.24603392687852,R2_质量饱和态,0.44868882375611485,0.06122333042552478,0.490087845894679
中(1e22),1e+22,幂函数型,131072,3.5796954398894663,83.45947282411902,0.9999999712377503,2.3321103449270026,R2_质量饱和态,0.17925569657044663,0.037564214736082055,0.7831800886960526
中(1e22),1e+22,对数渐进型,2048,7.680203301289941,199.03523987433684,0.9999999712377503,2.185280942023954,R2_质量饱和态,0.9171786638135502,0.020208606070145706,0.06261273011633836
中(1e22),1e+22,对数渐进型,4096,7.463237244742894,192.64617362452228,0.9999999712377503,2.1902848201026006,R2_质量饱和态,0.8626584588310445,0.019559906256584634,0.11778163491239861
中(1e22),1e+22,对数渐进型,8192,7.081472155990433,181.46697736137395,0.9999999712377503,2.1995502337142785,R2_质量饱和态,0.7710320084497895,0.018424851109539096,0.2105431404406892
中(1e22),1e+22,对数渐进型,32768,5.624793206997836,139.61267971081008,0.9999999712377503,2.241709124346731,R2_质量饱和态,0.47117547146887756,0.014175266894719216,0.5146492616364059
中(1e22),1e+22,对数渐进型,131072,3.6296587006071865,84.7870027590731,0.9999999712377503,2.3291774950280644,R2_质量饱和态,0.18464872935772514,0.008608662163083569,0.8067426084791915
高(1e24),1e+24,指数型,2048,66.52179766191678,2324.927837426222,0.9999999712377503,1.8975448104629447,R2_质量饱和态,0.9279502750789493,0.008701652808995191,0.06334807211205629
高(1e24),1e+24,指数型,4096,64.63111670638335,2249.8439383253203,0.9999999712377503,1.9004242838380616,R2_质量饱和态,0.8724595568943176,0.00842063160437795,0.11911981150130416
高(1e24),1e+24,指数型,8192,61.30609000578454,2118.539934214607,0.9999999712377503,1.905754884899329,R2_质量饱和态,0.7792763993268573,0.00792919189695582,0.2127944087761872
高(1e24),1e+24,指数型,32768,48.63903813535754,1627.7689795025356,0.9999999712377503,1.9299933537432001,R2_质量饱和态,0.4750387048174551,0.006092352753866045,0.5188689426486123
高(1e24),1e+24,指数型,131072,31.339369360370544,986.8533928903566,0.9999999712377503,1.980220102142329,R2_质量饱和态,0.18556417790595456,0.0036935579075078754,0.8107422642163092
高(1e24),1e+24,幂函数型,2048,66.46677185062339,2322.7383973757464,0.9999999712377503,1.8976271521510595,R2_质量饱和态,0.9263095387623381,0.010454396724819792,0.06323606451284228
高(1e24),1e+24,幂函数型,4096,64.57938742519245,2247.793866448658,0.9999999712377503,1.9005045524762578,R2_质量饱和态,0.870966905720155,0.010117079418853472,0.11891601486099183
高(1e24),1e+24,幂函数型,8192,61.25989509131421,2116.7225342127304,0.9999999712377503,1.9058314914488064,R2_质量饱和态,0.7780212022997558,0.009527141392258144,0.21245165630798662
高(1e24),1e+24,幂函数型,32768,48.610899626944054,1626.6968741870855,0.9999999712377503,1.9300557934500002,R2_质量饱和态,0.47445119084743237,0.007321588385928335,0.5182272207229555
高(1e24),1e+24,幂函数型,131072,31.328388546227355,986.4597228376435,0.9999999712377503,1.9802624699512714,R2_质量饱和态,0.18542516089356864,0.004439949547160392,0.8101348896213945
高(1e24),1e+24,对数渐进型,2048,66.72018823424709,2332.823746777975,0.9999999712377503,1.8972486452917237,R2_质量饱和态,0.9338786370140885,0.0023685813707905084,0.06375278162016176
高(1e24),1e+24,对数渐进型,4096,64.81760874634445,2257.2366496615164,0.9999999712377503,1.9001355729690665,R2_质量饱和态,0.8778520920340174,0.0022918356713567413,0.11985607229904449
高(1e24),1e+24,对数渐进型,8192,61.47260921440427,2125.092705440253,0.9999999712377503,1.905479342499306,R2_质量饱和态,0.7838099605554589,0.002157666219002031,0.21403237322901064
高(1e24),1e+24,对数渐进型,32768,48.74042247762443,1631.632536587591,0.9999999712377503,1.929768757115187,R2_质量饱和态,0.47715875496910304,0.0016566422711851991,0.521184602760919
高(1e24),1e+24,对数渐进型,131072,31.37891002522629,988.2711123014498,0.9999999712377503,1.9800676951320881,R2_质量饱和态,0.186065221880625,0.0010034193749616407,0.812931358744576
