预算档,C,L_ctx,成本族,N*,D*,Q*,L*,M=N·D,D*/N*,C_train占比,C_Q占比,C_attn占比,C_total/C,Q*-Q0
高(1e24),1e+24,2048,指数型,66.52179766191678,2324.927837426222,0.9999999712377503,1.8975448104629447,154658.37917982478,34.9498648434335,0.9279502750789493,0.008701652808995191,0.06334807211205629,1.0000000000000009,0.4379100291706034
高(1e24),1e+24,2048,幂函数型,66.46677185062339,2322.7383973757464,0.9999999712377503,1.8976271521510595,154384.92312705636,34.945858399680375,0.9263095387623381,0.010454396724819792,0.06323606451284228,1.0000000000000002,0.4379100291706034
高(1e24),1e+24,2048,对数渐进型,66.72018823424709,2332.823746777975,0.9999999712377503,1.8972486452917237,155646.439502348,34.96428605068818,0.9338786370140885,0.0023685813707905084,0.06375278162016176,1.0000000000050406,0.4379100291706034
高(1e24),1e+24,4096,指数型,64.63111670638335,2249.8439383253203,0.9999999712377503,1.9004242838380616,145409.92614905298,34.81053791080655,0.8724595568943176,0.00842063160437795,0.11911981150130416,0.9999999999999999,0.4379100291706034
高(1e24),1e+24,4096,幂函数型,64.57938742519245,2247.793866448658,0.9999999712377503,1.9005045524762578,145161.15095335917,34.806676806162955,0.870966905720155,0.010117079418853472,0.11891601486099183,1.0000000000000002,0.4379100291706034
高(1e24),1e+24,4096,对数渐进型,64.81760874634445,2257.2366496615164,0.9999999712377503,1.9001355729690665,146308.6820056695,34.824435725404925,0.8778520920340174,0.0022918356713567413,0.11985607229904449,1.0000000000044185,0.4379100291706034
高(1e24),1e+24,8192,指数型,61.30609000578454,2118.539934214607,0.9999999712377503,1.905754884899329,129879.39988780952,34.556761555250255,0.7792763993268573,0.00792919189695582,0.2127944087761872,1.0000000000000004,0.4379100291706034
高(1e24),1e+24,8192,幂函数型,61.25989509131421,2116.7225342127304,0.9999999712377503,1.9058314914488064,129670.20038329258,34.55315310379713,0.7780212022997558,0.009527141392258144,0.21245165630798662,1.0000000000000004,0.4379100291706034
高(1e24),1e+24,8192,对数渐进型,61.47260921440427,2125.092705440253,0.9999999712377503,1.905479342499306,130634.9934259098,34.56974956160314,0.7838099605554589,0.002157666219002031,0.21403237322901064,1.0000000000034717,0.4379100291706034
高(1e24),1e+24,32768,指数型,48.63903813535754,1627.7689795025356,0.9999999712377503,1.9299933537432001,79173.1174695759,33.466306939964944,0.4750387048174551,0.006092352753866045,0.5188689426486123,1.0000000002199334,0.4379100291706034
高(1e24),1e+24,32768,幂函数型,48.610899626944054,1626.6968741870855,0.9999999712377503,1.9300557934500002,79075.19847457211,33.46362413925456,0.47445119084743237,0.007321588385928335,0.5182272207229555,0.9999999999563162,0.4379100291706034
高(1e24),1e+24,32768,对数渐进型,48.74042247762443,1631.632536587591,0.9999999712377503,1.929768757115187,79526.45916151715,33.47596212028393,0.47715875496910304,0.0016566422711851991,0.521184602760919,1.0000000000012073,0.4379100291706034
高(1e24),1e+24,131072,指数型,31.339369360370544,986.8533928903566,0.9999999712377503,1.980220102142329,30927.362984325748,31.489254986038702,0.18556417790595456,0.0036935579075078754,0.8107422642163092,1.0000000000297717,0.4379100291706034
高(1e24),1e+24,131072,幂函数型,31.328388546227355,986.4597228376435,0.9999999712377503,1.9802624699512714,30904.193482261468,31.487726264057574,0.18542516089356864,0.004439949547160392,0.8101348896213945,1.0000000000621234,0.4379100291706034
高(1e24),1e+24,131072,对数渐进型,31.37891002522629,988.2711123014498,0.9999999712377503,1.9800676951320881,31010.870313437495,31.494755920679015,0.186065221880625,0.0010034193749616407,0.812931358744576,1.0000000000001628,0.4379100291706034
