g_form,L_ctx,wall,C,var,local_exponent
exp,2048,D≤1.8e13,5.011872336272715e+18,N,0.7560284721059602
exp,2048,D≤1.8e13,6.309573444801943e+18,N,0.6724720509937754
exp,2048,D≤1.8e13,7.943282347242789e+18,N,0.6250493759370457
exp,2048,D≤1.8e13,1e+19,N,0.520646116854401
exp,2048,D≤1.8e13,1.2589254117941713e+19,N,0.3584395368221607
exp,2048,D≤1.8e13,1.5848931924611109e+19,N,0.2839627876480506
exp,2048,D≤1.8e13,1.9952623149688828e+19,N,0.2874115149250045
exp,2048,D≤1.8e13,2.511886431509572e+19,N,0.2909860194645475
exp,2048,D≤1.8e13,3.162277660168379e+19,N,0.294685170713457
exp,2048,D≤1.8e13,3.981071705534986e+19,N,0.2985056346141661
exp,2048,D≤1.8e13,5.011872336272715e+19,N,0.30244654690331885
exp,2048,D≤1.8e13,6.309573444801942e+19,N,0.306505231934203
exp,2048,D≤1.8e13,7.94328234724279e+19,N,0.31067557049602357
exp,2048,D≤1.8e13,1e+20,N,0.3149509659177028
exp,2048,D≤1.8e13,1.2589254117941713e+20,N,0.3193266208628174
exp,2048,D≤1.8e13,1.5848931924611108e+20,N,0.3237930462028018
exp,2048,D≤1.8e13,1.995262314968883e+20,N,0.3283390670473594
exp,2048,D≤1.8e13,2.5118864315095718e+20,N,0.33295461047232067
exp,2048,D≤1.8e13,3.1622776601683794e+20,N,0.33762805890476955
exp,2048,D≤1.8e13,3.9810717055349857e+20,N,0.34234484257698483
exp,2048,D≤1.8e13,5.0118723362727146e+20,N,0.3470877682036715
exp,2048,D≤1.8e13,6.309573444801943e+20,N,0.35184380466319
exp,2048,D≤1.8e13,7.943282347242789e+20,N,0.356597615486578
exp,2048,D≤1.8e13,1e+21,N,0.36132934428164987
exp,2048,D≤1.8e13,1.2589254117941712e+21,N,0.3660224453937957
exp,2048,D≤1.8e13,1.5848931924611107e+21,N,0.3706582040247426
exp,2048,D≤1.8e13,1.995262314968883e+21,N,0.3752208996876405
exp,2048,D≤1.8e13,2.5118864315095717e+21,N,0.3796955393675532
exp,2048,D≤1.8e13,3.1622776601683794e+21,N,0.3840610887426763
exp,2048,D≤1.8e13,3.9810717055349854e+21,N,0.38830999682431155
exp,2048,D≤1.8e13,5.011872336272714e+21,N,0.3924244399122543
exp,2048,D≤1.8e13,6.309573444801943e+21,N,0.39639335703741807
exp,2048,D≤1.8e13,7.943282347242789e+21,N,0.40020833792117116
exp,2048,D≤1.8e13,1e+22,N,0.4038584872646922
exp,2048,D≤1.8e13,1.2589254117941714e+22,N,0.40734001415066956
exp,2048,D≤1.8e13,1.584893192461111e+22,N,0.41064996292212896
exp,2048,D≤1.8e13,1.995262314968883e+22,N,0.4137820010886202
exp,2048,D≤1.8e13,2.511886431509572e+22,N,0.4167363766783936
exp,2048,D≤1.8e13,3.1622776601683792e+22,N,0.41951789959339436
exp,2048,D≤1.8e13,3.981071705534985e+22,N,0.4221238817359705
exp,2048,D≤1.8e13,5.011872336272714e+22,N,0.4245594709618814
exp,2048,D≤1.8e13,6.309573444801943e+22,N,0.42683185805334034
exp,2048,D≤1.8e13,7.94328234724279e+22,N,0.4289430730498083
exp,2048,D≤1.8e13,1e+23,N,0.430897654190602
exp,2048,D≤1.8e13,1.2589254117941712e+23,N,0.4327100367052097
exp,2048,D≤1.8e13,1.584893192461124e+23,N,0.43438249628967895
exp,2048,D≤1.8e13,1.9952623149688827e+23,N,0.4359239184952912
exp,2048,D≤1.8e13,2.5118864315095718e+23,N,0.4373406564269473
exp,2048,D≤1.8e13,3.162277660168379e+23,N,0.43863868057331956
exp,2048,D≤1.8e13,3.9810717055349855e+23,N,0.43983174211747667
exp,2048,D≤1.8e13,5.011872336272756e+23,N,0.4409222269258919
exp,2048,D≤1.8e13,6.309573444801942e+23,N,0.44191729797765333
exp,2048,D≤1.8e13,7.94328234724279e+23,N,0.44282690148122583
exp,2048,D≤1.8e13,1e+24,N,0.44365675199660615
exp,2048,D≤1.8e13,1.2589254117941714e+24,N,0.44441357020626526
exp,2048,D≤1.8e13,1.584893192461124e+24,N,0.4450960120244787
exp,2048,D≤1.8e13,1.9952623149688828e+24,N,0.4457202805670093
exp,2048,D≤1.8e13,2.511886431509572e+24,N,0.44628966681751336
exp,2048,D≤1.8e13,3.1622776601683796e+24,N,0.446804784659939
exp,2048,D≤1.8e13,3.9810717055349857e+24,N,0.44727202354446405
exp,2048,D≤1.8e13,5.011872336272756e+24,N,0.44769066011194525
exp,2048,D≤1.8e13,6.309573444801943e+24,N,0.44807693834526674
exp,2048,D≤1.8e13,7.943282347242789e+24,N,0.44842344104702647
exp,2048,D≤1.8e13,1e+25,N,0.509382700371475
exp,2048,D≤1.8e13,1.2589254117941714e+25,N,0.7872982244730125
exp,2048,D≤1.8e13,1.5848931924611239e+25,N,1.0039586309282669
exp,2048,D≤1.8e13,1.995262314968883e+25,N,1.0031418489204285
exp,2048,D≤1.8e13,2.5118864315095717e+25,N,1.0024940191549163
exp,2048,D≤1.8e13,3.1622776601683795e+25,N,1.0019800362074918
exp,2048,D≤1.8e13,3.9810717055349854e+25,N,1.0015721471126966
exp,2048,D≤1.8e13,5.0118723362727555e+25,N,1.0012483900495184
exp,2048,D≤1.8e13,6.309573444801943e+25,N,1.0009913724280892
exp,2048,D≤1.8e13,7.943282347242788e+25,N,1.0007873117478852
exp,2048,D≤1.8e13,1e+26,N,1.0006252809148748
exp,2048,D≤1.8e13,1.2589254117941714e+26,N,1.0004966132935422
exp,2048,D≤1.8e13,1.584893192461124e+26,N,1.0003944329635601
exp,2048,D≤1.8e13,1.995262314968883e+26,N,1.0003132833770465
exp,2048,D≤1.8e13,2.511886431509572e+26,N,1.0002488335161388
exp,2048,D≤1.8e13,3.1622776601683796e+26,N,1.0001976451942909
exp,2048,D≤1.8e13,3.9810717055349854e+26,N,1.0001569886642798
exp,2048,D≤1.8e13,5.0118723362727554e+26,N,1.0001246964313992
exp,2048,D≤1.8e13,6.309573444801942e+26,N,1.0000990473112878
exp,2048,D≤1.8e13,7.94328234724279e+26,N,1.0000786744449925
exp,2048,D≤1.8e13,1e+27,N,1.0000696558198168
exp,2048,D≤1.8e13,1000000000000000.0,D,0.5483354890632453
exp,2048,D≤1.8e13,1258925411794166.2,D,0.5483355292895027
exp,2048,D≤1.8e13,1584893192461110.8,D,0.5483354909959317
exp,2048,D≤1.8e13,1995262314968882.8,D,0.548335683544174
exp,2048,D≤1.8e13,2511886431509582.0,D,0.5483355834583818
exp,2048,D≤1.8e13,3162277660168379.5,D,0.548335486005243
exp,2048,D≤1.8e13,3981071705534969.0,D,0.5483355200631692
exp,2048,D≤1.8e13,5011872336272715.0,D,0.5483354207202922
exp,2048,D≤1.8e13,6309573444801943.0,D,0.5483356954623133
exp,2048,D≤1.8e13,7943282347242821.0,D,0.5483355054188692
exp,2048,D≤1.8e13,1e+16,D,0.5483355179029203
exp,2048,D≤1.8e13,1.2589254117941714e+16,D,0.5483358957626692
exp,2048,D≤1.8e13,1.5848931924611108e+16,D,0.5483357993742857
exp,2048,D≤1.8e13,1.9952623149688828e+16,D,0.5483354145502233
exp,2048,D≤1.8e13,2.511886431509572e+16,D,0.5483351282043003
exp,2048,D≤1.8e13,3.162277660168379e+16,D,0.5483353502820165
exp,2048,D≤1.8e13,3.981071705534986e+16,D,0.5483357392088877
exp,2048,D≤1.8e13,5.0118723362727144e+16,D,0.5483362270636789
exp,2048,D≤1.8e13,6.309573444801943e+16,D,0.5483362958190696
exp,2048,D≤1.8e13,7.943282347242789e+16,D,0.5483357094240517
exp,2048,D≤1.8e13,1e+17,D,0.548334921102331
exp,2048,D≤1.8e13,1.2589254117941714e+17,D,0.5483350703221106
exp,2048,D≤1.8e13,1.584893192461111e+17,D,0.5483349745848329
exp,2048,D≤1.8e13,1.995262314968883e+17,D,0.5483355453462551
exp,2048,D≤1.8e13,2.511886431509572e+17,D,0.5483358401162519
exp,2048,D≤1.8e13,3.1622776601683795e+17,D,0.5483355011539857
exp,2048,D≤1.8e13,3.9810717055349856e+17,D,0.5483357939116331
exp,2048,D≤1.8e13,5.011872336272715e+17,D,0.5483354664177327
exp,2048,D≤1.8e13,6.309573444801943e+17,D,0.5483354645494671
exp,2048,D≤1.8e13,7.943282347242789e+17,D,0.5483353197560206
exp,2048,D≤1.8e13,1e+18,D,0.5483357715834671
exp,2048,D≤1.8e13,1.2589254117941714e+18,D,0.5483359218668085
exp,2048,D≤1.8e13,1.5848931924611108e+18,D,0.548335578495923
exp,2048,D≤1.8e13,1.995262314968883e+18,D,0.5483352826949854
exp,2048,D≤1.8e13,2.511886431509572e+18,D,-0.7609257438382713
exp,2048,D≤1.8e13,3.1622776601683794e+18,D,-1.4793970222274098
exp,2048,D≤1.8e13,3.9810717055349857e+18,D,-0.5527876632857769
exp,2048,D≤1.8e13,5.011872336272715e+18,D,-0.11084181853289721
exp,2048,D≤1.8e13,6.309573444801943e+18,D,0.05115152709748827
exp,2048,D≤1.8e13,7.943282347242789e+18,D,0.1416969230053482
exp,2048,D≤1.8e13,1e+19,D,0.35711592974151074
exp,2048,D≤1.8e13,1.2589254117941713e+19,D,0.7007414894967994
exp,2048,D≤1.8e13,1.5848931924611109e+19,D,0.8604742165654713
exp,2048,D≤1.8e13,1.9952623149688828e+19,D,0.8540546788978176
exp,2048,D≤1.8e13,2.511886431509572e+19,D,0.8474021149260338
exp,2048,D≤1.8e13,3.162277660168379e+19,D,0.8405180228025628
exp,2048,D≤1.8e13,3.981071705534986e+19,D,0.8334062184538169
exp,2048,D≤1.8e13,5.011872336272715e+19,D,0.8260704877524816
exp,2048,D≤1.8e13,6.309573444801942e+19,D,0.8185168858129259
exp,2048,D≤1.8e13,7.94328234724279e+19,D,0.810754953055195
exp,2048,D≤1.8e13,1e+20,D,0.8027961059386541
exp,2048,D≤1.8e13,1.2589254117941713e+20,D,0.7946522226228936
exp,2048,D≤1.8e13,1.5848931924611108e+20,D,0.7863397327426256
exp,2048,D≤1.8e13,1.995262314968883e+20,D,0.7778778367090027
exp,2048,D≤1.8e13,2.5118864315095718e+20,D,0.769286666773354
exp,2048,D≤1.8e13,3.1622776601683794e+20,D,0.7605888554370139
exp,2048,D≤1.8e13,3.9810717055349857e+20,D,0.7518105423993617
exp,2048,D≤1.8e13,5.0118723362727146e+20,D,0.7429811184671138
exp,2048,D≤1.8e13,6.309573444801943e+20,D,0.7341280090561284
exp,2048,D≤1.8e13,7.943282347242789e+20,D,0.725281137624286
exp,2048,D≤1.8e13,1e+21,D,0.7164744437236195
exp,2048,D≤1.8e13,1.2589254117941712e+21,D,0.7077397034803568
exp,2048,D≤1.8e13,1.5848931924611107e+21,D,0.6991104523718121
