C,L_ctx,g_form,N,D,Q,L,tokens_per_param,C_train,C_quality,C_attn,share_train,share_quality,share_attn,Q_at_lower,Q_at_upper,D_at_wall,regime,wall,mu_N,mu_D,mu_Q,lnN,lnD
2.5118864315095718e+20,2048,exp,1211275246.736919,22417797945.134445,1.0,2.3423305329596107,18.507600155725335,1.629247424237467e+20,7.714157164441598e+19,1.1122329082794443e+19,0.6486150821947535,0.30710612819408445,0.04427878961116184,False,True,False,R2 质量饱和(Q*=1),无,4.69226499611256e-22,4.692265248935597e-22,9.70385435239996e-22,20.914939564491277,23.83312103144084
3.1622776601683794e+20,2048,exp,1308490676.3813531,26735550385.92482,1.0,2.315855763634612,20.432358341186127,2.098993104474391e+20,9.199932930952036e+19,1.432912625987851e+19,0.663759900312684,0.29092742382597025,0.045312675861345894,False,True,False,R2 质量饱和(Q*=1),无,3.5465132009327564e-22,3.5465127797110045e-22,7.831488715506858e-22,20.992140154484062,24.009259991853916
3.9810717055349857e+20,2048,exp,1415038978.7443998,31820775315.149296,1.0,2.290657421500243,22.487560974033862,2.7016582442882318e+20,1.0949802584366773e+20,1.8443320281007663e+19,0.6786258686403581,0.2750466053937934,0.04632752596584845,False,True,False,R2 质量饱和(Q*=1),无,2.6820352328839614e-22,2.6820353938335907e-22,6.334558651535217e-22,21.070422914478037,24.18338522521444
5.0118723362727146e+20,2048,exp,1531931787.6357098,37796480863.0668,1.0,2.2666604347758703,24.67243069706099,3.4740978296938096e+20,1.3006094280718075e+20,2.371650785070974e+19,0.6931736478103242,0.25950569783249094,0.047320654357184806,False,True,False,R2 质量饱和(Q*=1),无,2.0294262910342223e-22,2.0294262245784586e-22,5.13523603934375e-22,21.149795382231577,24.35548183637732
6.309573444801943e+20,2048,exp,1660297344.0133255,44802994729.19785,1.0,2.243794557370401,26.984922243445006,4.4631775891638125e+20,1.541709598884548e+20,3.04686256753583e+19,0.7073659777810719,0.244344504802407,0.04828951741652118,False,True,False,R2 质量饱和(Q*=1),无,1.5364872851945063e-22,1.5364869851646078e-22,4.1722854008825355e-22,21.230262546173865,24.525540820767095
7.943282347242789e+20,2048,exp,1801392229.1531956,53000125566.50424,1.0,2.2219940764385853,29.421757632105873,5.7284408603786615e+20,1.8237799241289443e+20,3.910615627351833e+19,0.7211679769090763,0.22960028920059736,0.04923173389032628,False,True,False,R2 质量饱和(Q*=1),无,1.1639428972586207e-22,1.1639426353370776e-22,3.3974400127957895e-22,21.31182566352266,24.693560119675052
1e+21,2048,exp,1956615370.2402563,62569577679.27072,1.0,2.2011975366847856,31.978476010636516,7.345475843802165e+20,2.1530730052609393e+20,5.014511509368945e+19,0.7345475843802165,0.21530730052609393,0.05014511509368945,False,True,False,R2 质量饱和(Q*=1),无,8.822276699458702e-23,8.822276454242468e-23,2.7725883619980903e-22,21.3944819655431,24.859545017361757
1.2589254117941712e+21,2048,exp,2127522409.7324388,73717703572.4575,1.0,2.181347480125867,34.649554446633715,9.410163980664984e+20,2.5366896095299987e+20,6.4240052774672966e+19,0.7474758943227611,0.20149641795813844,0.0510276877191005,False,True,False,R2 质量饱和(Q*=1),无,6.69074564553893e-23,6.690745139266904e-23,2.2675828099612556e-22,21.478223951720576,25.023508818590805
1.5848931924611107e+21,2048,exp,2315845960.5834913,86678501240.35236,1.0,2.162390200133504,37.42843985120374,1.204404341801407e+21,2.982681809260611e+20,8.222066973364272e+19,0.7599277651834321,0.18819449938004565,0.0518777354365223,False,True,False,R2 质量饱和(Q*=1),无,5.0770407165625166e-23,5.077039619572627e-23,1.8585345230931354e-22,21.563040883470894,25.185471722744644
1.995262314968883e+21,2048,exp,2523514629.590623,101717073190.93298,1.0,2.144275508689044,40.307701012787085,1.540107133658757e+21,3.500172009856877e+20,1.0513798032443784e+20,0.7718820338080589,0.1754241526839775,0.0526938135079635,False,True,False,R2 质量饱和(Q*=1),无,3.8546547579751193e-23,3.8546548542665737e-23,1.526477974625672e-22,21.648918461069027,25.345461003894602
2.5118864315095717e+21,2048,exp,2752669216.64666,119133731172.83345,1.0,2.12695651589968,43.279348805289374,1.9676145267823034e+21,4.099494196989297e+20,1.3432248502833857e+20,0.7833214519972639,0.16320380354638958,0.05347474445634654,False,True,False,R2 质量饱和(Q*=1),无,2.928160966846556e-23,2.928160771375621e-23,1.2563255943146651e-22,21.73583690210893,25.503512490445452
3.1622776601683794e+21,2048,exp,3005692970.5587926,139268269882.99866,1.0,2.110389420941003,46.33482902184354,2.5115859588552836e+21,4.7923409985524204e+20,1.71457601457854e+20,0.7942332169280641,0.1515471287963134,0.0542196542756225,False,True,False,R2 质量饱和(Q*=1),无,2.2255317299042497e-23,2.225531221054984e-23,1.036054576528826e-22,21.823773984191334,25.659667909179877
3.9810717055349854e+21,2048,exp,3285235012.0733852,162505136891.31372,1.0,2.094533313705791,49.465300440942606,3.203205392142733e+21,5.591941586219753e+20,2.1867215477027724e+20,0.8046088161861629,0.1404632219621951,0.05492796185164205,False,True,False,R2 质量饱和(Q*=1),无,1.6923725906694874e-23,1.6923722888711758e-23,8.560641601512539e-23,21.912704027290076,25.81397544985542
5.011872336272714e+21,2048,exp,3594237278.861782,189279329224.70944,1.0,2.07934998654866,52.661890281392374,4.081888927304418e+21,6.513264581976477e+20,2.7865695077064832e+20,0.8144439150539263,0.1299567136783922,0.055599371267681386,False,True,False,R2 质量饱和(Q*=1),无,1.2875819238309367e-23,1.2875819235577313e-23,7.086720337983451e-23,22.002597643958154,25.96648969334471
6.309573444801943e+21,2048,exp,3935967945.8774714,220082977346.6169,1.0,2.064803755618196,55.915845955283146,5.19743726561737e+21,7.573244618517596e+20,3.548117173328125e+20,0.8237382940520661,0.1200278384073128,0.05623386754062105,False,True,False,R2 质量饱和(Q*=1),无,9.80083617222519e-24,9.800839028247282e-24,5.877188675216362e-23,22.093422672271313,26.11727048194549
7.943282347242789e+21,2048,exp,4314052043.351073,255473159222.02292,1.0,2.0508612913594977,59.21884035121103,6.612747027378732e+21,8.791051227950025e+20,4.514301970690548e+20,0.8324955274533452,0.11067277787250641,0.05683169467414837,False,True,False,R2 质量饱和(Q*=1),无,7.463680988494833e-24,7.463680780300012e-24,4.882557106951842e-23,22.185143448667933,26.266383189103227
1e+22,2048,exp,4732522368.410889,296079948121.0716,1.0,2.0374914578481724,62.56282064240742,8.407229863925441e+21,1.0188365773639161e+21,5.7393355871064346e+20,0.8407229863925441,0.1018836577363916,0.057393355871064346,False,True,False,R2 质量饱和(Q*=1),无,5.6863834283106476e-24,5.686381627818837e-24,4.062989384830203e-23,22.27772416758933,26.413895349805003
