budget,N_B,D_B,Q,loss,C_train,C_quality,C_attn,C_total,share_train,share_quality,share_attn
1.7782794100389228e+23,20.669079803255542,1305.2195950333535,1.0,1.9741327040983085,1.618661278231036e+23,4.911752188750756e+21,1.1050060992723871e+22,1.7782794100457823e+23,0.9102401282312341,0.02762081234818043,0.06213905942058556
3.162277660168379e+23,26.612193082414784,1813.8912380067902,1.0,1.9498268208865208,2.8962974313802258e+23,6.825965754986999e+21,1.9772057131555676e+22,3.1622776602456525e+23,0.9158896664232942,0.021585599015542307,0.06252473456116356
5.623413251903491e+23,34.31712210197843,2513.5697616746857,1.0,1.9276507572342423,5.175508825393859e+23,9.458969069620702e+21,3.5331473581355416e+22,5.62341325190362e+23,0.9203500780672419,0.016820689936701133,0.06282923199605706
1e+24,44.307271762920124,3475.177925790155,1.0,1.9074032942027839,9.238539166949127e+23,1.3077655934871185e+22,6.3068427379706046e+22,1.0000000000094898e+24,0.9238539166861455,0.01307765593474708,0.06306842737910753
1.7782794100389228e+24,57.261319235317636,4795.981248915901,1.0,1.8889061269971879,1.647745280044625e+24,1.8048052209918203e+22,1.1248607778437973e+23,1.7782794100389228e+24,0.9265952643564372,0.01014916559683001,0.06325557004673278
3.1622776601683796e+24,74.05931912711905,6609.369255419753,1.0,1.8720003252748152,2.9369123214966043e+24,2.487212422346475e+22,2.0049321448083487e+23,3.162277660200904e+24,0.9287332224046444,0.007865256279198643,0.06340152131615706
5.62341325190349e+24,95.84251817589731,9098.264646749238,1.0,1.8565435073182635,5.232003568651126e+24,3.423823965143752e+22,3.57171443619917e+23,5.62341325192248e+24,0.9303964219351044,0.006088515660792397,0.06351506240410315
1e+25,155.42886271743143,10000.000000000002,1.0,1.8427752446429002,9.325731763045888e+24,3.763161545720773e+22,6.366366216905992e+23,1.0000000000193695e+25,0.9325731762865253,0.003763161545647882,0.06366366216782679
1.7782794100389228e+25,276.85288450031476,10000.000000000002,1.0,1.8314294080063718,1.6611173070018889e+25,3.763161545720773e+22,1.1339894149132896e+24,1.7782794100389385e+25,0.9341149077160579,0.0021161812505259632,0.06376891103341623
3.1622776601683795e+25,492.7787223265569,10000.000000000002,1.0,1.8221162015639774,2.9566723339593417e+25,3.763161545720773e+22,2.0184216466495773e+24,3.16227766017002e+25,0.9349818870112677,0.0011900161687631334,0.0638280968199692
5.6234132519034905e+25,876.7551938740363,10000.000000000002,1.0,1.8144657855142245,5.260531163244219e+25,3.763161545720773e+22,3.591189274108053e+24,5.623413252200744e+25,0.9354694252970809,0.0006691952693051761,0.06386137943361406
1e+26,999.999999999999,10000.000000000002,1.0,1.8129196573178379,5.999999999999995e+25,3.763161545720773e+22,4.0959999999999973e+24,6.4133631615457155e+25,0.9355465843530848,0.0005867688217446578,0.0638666468251706
