domain_i,domain_j,coef,ci_low,ci_high,significant,co_occurrence_both_gt_1pct
nih_exporter,ubuntu_irc,-12.528997539893878,-22.266441432768396,2.8941684971367865,False,0.06901041666666667
pubmed_central,dm_mathematics,-12.436750129287974,-15.396869163391617,-8.514856130783965,True,0.19140625
dm_mathematics,pubmed_abstracts,-12.432473359920674,-17.37516966515122,-8.857324807289107,True,0.15364583333333334
dm_mathematics,github,-12.17631148808378,-15.673234247346327,-8.425808105490914,True,0.17838541666666666
dm_mathematics,pile_cc,-11.834092609897358,-15.338390287347316,-8.11112744935632,True,0.18359375
arxiv,dm_mathematics,-11.585836098986855,-15.143355062682845,-7.800345603481786,True,0.16015625
dm_mathematics,stackexchange,-11.317322251413081,-14.404599815713302,-7.526600176910009,True,0.16276041666666666
philpapers,uspto_backgrounds,-10.570879719039294,-16.64540627595616,-3.9160619166354254,True,0.08723958333333333
nih_exporter,dm_mathematics,-10.135157432765821,-21.81594260910697,8.562339279028938,False,0.06901041666666667
dm_mathematics,europarl,-8.252812905545255,-15.407263240938057,0.4396831644611496,False,0.09765625
freelaw,enron_emails,-7.4274954949293885,-21.17688703051146,12.654464473894265,False,0.041666666666666664
pubmed_central,enron_emails,-6.886467159820032,-15.183111566775988,3.855270159070964,False,0.037760416666666664
europarl,hackernews,-6.1061875572438105,-16.21475509420413,5.484292082847694,False,0.06640625
stackexchange,enron_emails,-5.953984748667084,-16.10747223356669,2.0551836628895837,False,0.033854166666666664
wikipedia_en,gutenberg_pg_19,-5.848543525599798,-7.88188639672173,-3.8721291355764733,True,0.17578125
gutenberg_pg_19,hackernews,-5.457425037421097,-12.08902618586589,2.3470302922696784,False,0.11067708333333333
pubmed_central,gutenberg_pg_19,-5.2940561364165095,-7.091205886087085,-3.64975940180898,True,0.20833333333333334
freelaw,gutenberg_pg_19,-4.905710315907367,-7.632580096836738,-3.1038774977650005,True,0.20182291666666666
enron_emails,uspto_backgrounds,-4.836337315112793,-17.340909509012604,5.462577168409757,False,0.03125
gutenberg_pg_19,pubmed_abstracts,-4.723954462585994,-7.220614928436325,-2.859560832187224,True,0.1875
