Model,#Params (B),Submission Date,Hub License,Type,Average ⬆️,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,Epoch_AI_Publication_Date,Epoch_AI_Organization,Epoch_AI_Open_Weights
1024m/QWEN-14B-B100,14.77,2025-02-06,apache-2.0,🔶 fine-tuned on domain-specific datasets,41.91906679224076,77.62104549262622,49.77664782103219,54.38066465256798,13.422818791946312,9.883333333333336,46.429890661938536,2023-09-28,Alibaba,Yes
152334H/miqu-1-70b-sf,68.977,2024-06-26,,🔶 fine-tuned on domain-specific datasets,29.097407726236643,51.81740005407873,43.807147003691966,12.462235649546828,13.422818791946312,17.209374999999998,35.865469858156025,,,
1TuanPham/T-VisStar-7B-v0.1,7.294,2024-09-22,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",19.14480861089536,36.07040430502179,30.24383447882599,5.740181268882175,4.697986577181204,13.554166666666667,24.562278368794324,,,
1TuanPham/T-VisStar-v0.1,7.294,2024-09-20,apache-2.0,🔶 fine-tuned on domain-specific datasets,19.14480861089536,36.07040430502179,30.24383447882599,5.740181268882175,4.697986577181204,13.554166666666667,24.562278368794324,,,
3rd-Degree-Burn/L-3.1-Science-Writer-8B,8.03,2024-11-19,,🔶 fine-tuned on domain-specific datasets,21.09120798437004,42.625012743963794,29.19930078641656,10.347432024169184,3.243847874720355,11.693489583333331,29.43816489361702,,,
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,8.03,2024-10-10,apache-2.0,🤝 base merges and moerges,11.223740793316349,22.13438121960841,8.618063681935197,26.586102719033235,0.8948545861297527,0.7812499999999996,8.32779255319149,,,
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,8.03,2024-11-10,,🤝 base merges and moerges,8.037946007988568,28.92381104358657,6.515144725982737,8.836858006042297,0.7829977628635317,1.7578124999999991,1.4110520094562635,,,
3rd-Degree-Burn/Llama-Squared-8B,8.03,2024-10-08,,🔶 fine-tuned on domain-specific datasets,12.434954194134717,27.55244972229241,21.277103190106818,5.740181268882175,2.9082774049217,1.9518229166666672,15.179890661938533,,,
4season/final_model_test_v2,21.421,2024-06-27,apache-2.0,🔶 fine-tuned on domain-specific datasets,23.086235043644056,31.911328608093196,47.410670136906425,8.38368580060423,10.290827740492167,12.430989583333334,28.08990839243498,,,
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,8.03,2024-11-20,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",28.56857495894073,71.89579205397234,30.84806521622957,24.773413897280967,7.38255033557047,6.150000000000006,30.361628250591018,,,
AALF/FuseChat-Llama-3.1-8B-SFT-preview,8.03,2024-11-21,,🔶 fine-tuned on domain-specific datasets,29.225292099823264,72.80504616639405,32.53678156315301,22.507552870090635,7.270693512304249,9.749999999999998,30.48167848699764,,,
AALF/gemma-2-27b-it-SimPO-37K,27.227,2024-09-05,gemma,"💬 chat models (RLHF, DPO, IFT, ...)",9.512077380763676,24.065257959990603,15.307880971954305,1.283987915407855,4.026845637583895,1.5950520833333328,10.793439716312056,,,
AALF/gemma-2-27b-it-SimPO-37K-100steps,27.227,2024-09-21,gemma,"💬 chat models (RLHF, DPO, IFT, ...)",10.246803363324457,25.67642743476199,15.261078322847055,2.114803625377644,5.145413870246088,0.7812499999999996,12.501846926713949,,,
AELLM/gemma-2-aeria-infinity-9b,9.242,2024-10-09,,🤝 base merges and moerges,31.919053815912523,75.93995044260342,42.0902142313775,21.45015105740181,11.185682326621922,9.046093750000004,31.80223108747045,,,
AELLM/gemma-2-lyco-infinity-9b,10.159,2024-10-09,,"💬 chat models (RLHF, DPO, IFT, ...)",30.04985134020671,73.1647583966099,39.78753882674737,17.069486404833835,10.402684563758392,8.912760416666671,30.961879432624112,,,
AGI-0/Art-v0-3B,3.086,2025-01-19,other,🔶 fine-tuned on domain-specific datasets,12.132145545921874,31.9238509377341,8.029776912286984,24.62235649546828,1.230425055928408,5.002864583333332,1.9835992907801416,,,
AGI-0/Artificium-llama3.1-8B-001,8.03,2024-09-08,unknown,🔶 fine-tuned on domain-specific datasets,19.491817924739056,52.47687247614108,19.34889807323965,13.595166163141997,2.1252796420581683,5.165625000000001,24.23906619385342,,,
AGI-0/smartllama3.1-8B-001,8.03,2024-11-25,unknown,🔶 fine-tuned on domain-specific datasets,20.42455207766212,35.178659290682056,24.8577369132814,12.990936555891238,7.494407158836691,14.397395833333333,27.628176713947987,,,
AI-MO/NuminaMath-7B-CoT,6.91,2024-09-10,apache-2.0,🔶 fine-tuned on domain-specific datasets,16.118457218023075,26.88544173903022,19.152364282090307,26.963746223564957,2.1252796420581683,0.8263020833333333,20.75760933806146,,,
AI-MO/NuminaMath-7B-TIR,6.91,2024-07-11,apache-2.0,🔶 fine-tuned on domain-specific datasets,14.182289143173431,27.562423259174547,16.87354725795866,16.08761329305136,1.1185682326621946,4.199218749999999,19.25236406619385,,,
AI-Sweden-Models/Llama-3-8B-instruct,8.03,2024-06-27,llama3,🔶 fine-tuned on domain-specific datasets,14.343669671742774,24.012841482821138,18.388095615027524,3.8519637462235647,2.1252796420581683,19.93671875,17.747118794326237,,,
AI-Sweden-Models/gpt-sw3-40b,39.927,2024-06-26,other,🟢 pretrained,4.872902485288683,14.702988071649887,6.894934050796576,1.7371601208459215,0.0,2.83828125,3.064051418439715,2023-03-01,AI Sweden,Yes
AI4free/Dhanishtha,1.777,2025-02-19,apache-2.0,🟩 continuously pretrained,11.247711953182252,24.51240486353985,7.93648440557281,25.604229607250755,0.3355704697986553,1.951822916666666,7.145759456264774,,,
AI4free/t2,7.613,2025-02-27,,🤝 base merges and moerges,11.33461581083953,38.66828902866616,2.133152068631521,18.95770392749245,1.0067114093959737,5.646093750000001,1.595744680851063,2021-03-24,"University of Washington,Microsoft,DeepMind,Allen Institute for AI",No
AIDC-AI/Marco-o1,7.616,2025-01-31,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",27.639223265636087,47.7083028586373,34.84254498655976,37.46223564954683,1.230425055928408,9.963802083333334,34.62802895981088,2024-10-16,Alibaba,Yes
Aashraf995/Creative-7B-nerd,7.616,2024-12-13,apache-2.0,🤝 base merges and moerges,29.97819251596781,47.21871301480073,37.0801538173552,31.64652567975831,10.17897091722595,14.942708333333334,38.802083333333336,,,
Aashraf995/Gemma-Evo-10B,10.159,2024-12-13,apache-2.0,🤝 base merges and moerges,34.32632733409121,73.32211864519475,43.42455936867185,22.2809667673716,13.870246085011187,16.66822916666666,36.3918439716312,,,
Aashraf995/Qwen-Evo-7B,7.616,2024-12-13,apache-2.0,🤝 base merges and moerges,30.275058582706105,47.57343847657549,38.585326990506125,31.419939577039276,10.067114093959727,15.534895833333335,38.46963652482269,,,
Aashraf995/QwenStock-14B,14.766,2024-12-13,apache-2.0,🤝 base merges and moerges,37.13002133952593,50.08632650256874,50.43389870716874,35.725075528700906,18.568232662192397,19.274218750000003,48.69237588652482,,,
AbacusResearch/Jallabi-34B,34.389,2024-06-27,apache-2.0,🤝 base merges and moerges,26.18608192071653,35.28604103777975,43.61576498719506,5.211480362537765,11.85682326621924,20.23880208333333,40.90757978723404,,,
Ahdoot/StructuredThinker-v0.3-MoreStructure,3.397,2025-01-01,,🤝 base merges and moerges,23.924082152035727,41.928084150055184,27.258541777802407,29.0785498489426,6.263982102908276,10.011197916666667,29.00413711583924,,,
Ahdoot/Test_StealthThinker,3.086,2025-01-05,mit,🔶 fine-tuned on domain-specific datasets,22.06904758264274,42.20036170693759,25.366571749083093,17.900302114803626,6.152125279642054,11.938541666666666,28.856382978723406,,,
AicoresSecurity/Cybernet-Sec-3B-R1-V0,3.213,2025-02-26,,🔶 fine-tuned on domain-specific datasets,20.584200054790823,63.58018945287393,22.32210586978715,11.555891238670696,1.789709172259505,1.920572916666666,22.336731678486995,,,
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,3.213,2025-02-26,,🔶 fine-tuned on domain-specific datasets,22.930540293017284,70.9765644046685,22.65149321038919,14.879154078549847,2.9082774049217,1.965625,24.202127659574465,,,
AicoresSecurity/Cybernet-Sec-3B-R1-V1,3.213,2025-03-07,,🔶 fine-tuned on domain-specific datasets,19.9979903395144,61.45693426774292,19.125071594281845,15.181268882175228,1.45413870246085,1.920572916666666,20.849955673758867,,,
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,3.213,2025-03-07,,🔶 fine-tuned on domain-specific datasets,22.6434068109946,67.30209178313541,20.43056853928926,17.598187311178247,2.796420581655479,4.528385416666668,23.204787234042552,,,
Alepach/notHumpback-M0,3.213,2025-01-17,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",5.137220097878128,23.50075577246152,1.2773603683897798,1.8882175226586104,0.0,2.83828125,1.3187056737588652,,,
Alepach/notHumpback-M1,3.213,2025-01-17,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",4.779297887614574,22.06944241279804,1.922946094565394,1.5861027190332326,0.0,2.0833333333333326,1.0139627659574466,,,
Alepach/notHumpback-M1-v2,3.213,2025-01-19,,"💬 chat models (RLHF, DPO, IFT, ...)",5.206724746715221,22.77135777514772,1.2676708259061196,2.190332326283988,1.342281879194629,2.35,1.3187056737588652,,,
Alibaba-NLP/gte-Qwen2-7B-instruct,7.613,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,13.834176058521932,22.55404548819355,21.92548248566236,6.419939577039275,0.0,6.315104166666665,25.790484633569736,,,
Alsebay/Qwen2.5-7B-test-novelist,7.616,2024-12-12,apache-2.0,🔶 fine-tuned on domain-specific datasets,27.172849099811742,53.51600420218354,30.417500036352997,23.48942598187311,5.480984340044745,18.29401041666667,31.839169621749413,2024-09-19,Alibaba,Yes
Amaorynho/BBAI2006,1.09,2025-02-27,,🤝 base merges and moerges,3.4638352160730896,14.670518668244704,1.6776683167876156,0.0,0.3355704697986553,2.734375,1.3648788416075646,,,
Amaorynho/BBAI270V4,7.616,2025-02-26,,🤝 base merges and moerges,4.549298117195413,19.90374428737971,3.006785000149223,0.8308157099697886,0.0,2.291145833333333,1.263297872340425,,,
