g,Lctx,kappa_c,C,Q,regime,N,D,L
指数型,2048,6.4096,2.371373705661655e+18,0.6200709735609296,A,115557474.18176997,3201629196.678541,3.6077057061016844
指数型,2048,6.4096,3.1622776601683794e+18,0.6200709735609296,A,131594657.00946711,3749132729.699991,3.524811775554846
指数型,2048,6.4096,4.2169650342858225e+18,0.6200709735609296,A,149857496.24641082,4390263631.868979,3.4455006053773634
指数型,2048,6.4096,5.623413251903491e+18,0.6848503980962215,I,201164148.6849911,3785580570.053092,3.367143950090705
指数型,2048,6.4096,7.498942093324558e+18,0.7335802963290952,I,251772841.07925102,3718495965.722139,3.2887962467135496
指数型,2048,6.4096,1e+19,0.7745167256956805,I,305899995.30226904,3859962767.0413365,3.212141013447985
指数型,2048,6.4096,1.3335214321633241e+19,0.8113597768628008,I,365952234.7786505,4123953642.8066955,3.1378210471487042
指数型,2048,6.4096,1.7782794100389229e+19,0.8456417785569876,I,433587488.9659124,4485861520.306087,3.0661427246562023
指数型,2048,6.4096,2.3713737056616554e+19,0.8781724250935037,I,510347345.1203663,4939758632.839872,2.9972517432417156
指数型,2048,6.4096,3.162277660168379e+19,0.9094406248246845,I,597845940.4304461,5487940091.046658,2.9312034739347803
指数型,2048,6.4096,4.216965034285823e+19,0.9397681409361727,I,697860359.8710539,6137427113.3260765,2.867998028227474
指数型,2048,6.4096,5.6234132519034905e+19,0.9693797569683853,I,812392151.7671553,6898630134.533743,2.8076001013147573
指数型,2048,6.4096,7.498942093324558e+19,1.0,B,946702724.2431486,7739282399.470328,2.749952573855566
指数型,2048,6.4096,1e+20,1.0,B,1037307692.6455522,9736912876.561888,2.6953785821790976
指数型,2048,6.4096,1.333521432163324e+20,1.0,B,1138402430.418526,12213778797.082308,2.6441804371929334
指数型,2048,6.4096,1.778279410038923e+20,1.0,B,1251394587.5385578,15274156044.414503,2.596108841126149
指数型,2048,6.4096,2.3713737056616553e+20,1.0,B,1377895362.6267788,19042243661.687767,2.5509340331760515
指数型,2048,6.4096,3.1622776601683794e+20,1.0,B,1519748942.836828,23665401250.647526,2.508444333074233
指数型,2048,6.4096,4.216965034285823e+20,1.0,B,1679065933.6089404,29317850359.121567,2.4684447938024716
指数型,2048,6.4096,5.6234132519034906e+20,1.0,B,1858261275.8913646,36204920088.95895,2.430755953342526
指数型,2048,6.4096,7.498942093324558e+20,1.0,B,2060097217.5326254,44567937761.590385,2.3952126760971417
指数型,2048,6.4096,1e+21,1.0,B,2287731988.773266,54689889975.69857,2.361663075412041
指数型,2048,6.4096,1.333521432163324e+21,1.0,B,2544774931.431962,66902007595.40485,2.329967509468399
指数型,2048,6.4096,1.7782794100389228e+21,1.0,B,2835348949.5258336,81591459829.67409,2.299997643700345
指数型,2048,6.4096,2.3713737056616553e+21,1.0,B,3164161287.3354225,99210377356.256,2.2716355738084584
指数型,2048,6.4096,3.1622776601683794e+21,1.0,B,3536583800.5667224,120286462372.93422,2.2447730043633434
指数型,2048,6.4096,4.2169650342858226e+21,1.0,B,3958744068.2378345,145435484875.57953,2.2193104788895703
指数型,2048,6.4096,5.623413251903491e+21,1.0,B,4437628898.174378,175376010225.31052,2.1951566581516686
指数型,2048,6.4096,7.498942093324559e+21,1.0,B,4981202008.79717,210946754595.65573,2.1722276440934403
