Q,N,D,L,VA,VB,VI,shape,n_local_min,n_local_max,regime,g,C
0.6200709735609296,58719178.91777991,1406752282.719663,4.104074929426477,4.104074929426477,4.604646490358456,4.107829513906176,单调上升,0,0,A,幂函数型,6.309573444801943e+17
0.6200709735609296,61852329.45298819,1498447536.9714606,4.0617818853832865,4.0617818853832865,4.530407176021337,4.0652266789121425,单调上升,0,0,A,幂函数型,7.079457843841403e+17
0.6200709735609296,65152659.30604808,1596119692.597838,4.020229726344895,4.020229726344895,4.458344867955825,4.023386348071582,单调上升,0,0,A,幂函数型,7.943282347242789e+17
0.6200709735609296,68629088.86683652,1700158337.3733804,3.9794054735673283,3.9794054735673283,4.388391566944633,3.9822940997678486,单调上升,0,0,A,幂函数型,8.912509381337441e+17
0.6200709735609296,72291014.50130539,1810978453.273512,3.9392963756668635,3.9392963756668635,4.320481417587912,3.9419358338127433,单调上升,0,0,A,幂函数型,1e+18
0.6200709735609296,76148333.94871578,1929022071.7252254,3.899889904637144,3.899889904637144,4.254550640497293,3.902297761494368,单调上升,0,0,A,幂函数型,1.1220184543019653e+18
0.6200709735609296,80211473.0740216,2054760036.750733,3.861173751936085,3.861173751936085,4.190537466646417,3.863366396057117,单调上升,0,0,A,幂函数型,1.2589254117941714e+18
0.6200709735609296,84491414.04771231,2188693883.036755,3.823135824641324,3.823135824641324,4.128382073809865,3.8251285435923137,单调上升,0,0,A,幂函数型,1.4125375446227497e+18
0.6200709735609296,88999725.02928732,2331357836.42051,3.7857642416730055,3.7857642416730055,4.068026525024641,3.7875712943189725,单调上升,0,0,A,幂函数型,1.5848931924611108e+18
0.6200709735609296,93748591.43457857,2483320944.7718906,3.749047330082761,3.749047330082761,4.009414709010504,3.750682014235182,单调上升,0,0,A,幂函数型,1.7782794100389228e+18
0.6200709735609296,98750848.87144676,2645189347.771354,3.712973621407679,3.712973621407679,3.952492282487361,3.7144483371213894,单调上升,0,0,A,幂函数型,1.995262314968883e+18
0.6200709735609296,104020017.83287036,2817608694.63683,3.677531848088149,3.677531848088149,3.8972066143300124,3.678858156877893,单调上升,0,0,A,幂函数型,2.238721138568347e+18
0.6200709735609296,109570340.24118908,3001266719.4436417,3.6427109399484614,3.6427109399484614,3.843506731502373,3.6438996201796066,单调上升,0,0,A,幂函数型,2.511886431509572e+18
0.6200709735609296,115416817.94228847,3196895984.309504,3.608500020739049,3.608500020739049,3.7913432667151508,3.609561119432044,单调上升,0,0,A,幂函数型,2.818382931264449e+18
0.6200709735609296,121575253.25376056,3405276801.3863354,3.574888404739325,3.574888404739325,3.74066840775279,3.5758312860132673,单调上升,0,0,A,幂函数型,3.1622776601683794e+18
