g,C,Q,N_B,D_B,L,s_Q,s_attn,s_train,n_local,shape,loc_Q,active
指数型,5.6234132519034905e+25,0.9999999777760276,228.7822173816751,32112.658836402108,1.8135761947702633,0.0020680492692082015,0.21405159563224357,0.7838803550985483,0,单调下降（上角点 $Q=1$）,[],True
指数型,7.498942093324558e+25,0.9999999777760276,260.45673304208634,37624.62495993945,1.8082217877651576,0.0018170078156567828,0.21410544281457217,0.784077549369771,0,单调下降（上角点 $Q=1$）,[],True
指数型,1e+26,0.9999999777760276,296.5269551083772,44079.79752067759,1.80309953538048,0.0015963356283852463,0.21415277593559562,0.784250888436019,0,单调下降（上角点 $Q=1$）,[],True
指数型,1.333521432163324e+26,0.9999999777760276,337.6030640905912,51639.46673206127,1.7981992870887185,0.0014023821153651911,0.21419437802971641,0.7844032398549183,0,单调下降（上角点 $Q=1$）,[],True
指数型,1.7782794100389227e+26,0.9999999777760276,384.37973626535876,60492.53264907242,1.7935113496117867,0.0012319309985752776,0.21423093897307482,0.78453713002835,0,单调下降（上角点 $Q=1$）,[],True
指数型,2.3713737056616553e+26,0.9999999777760276,437.64809989643084,70860.19281211768,1.7890264642214595,0.0010821487085867106,0.21426306655266175,0.7846547847387515,0,单调下降（上角点 $Q=1$）,[],True
指数型,3.1622776601683796e+26,0.9999999777760276,498.30906976365685,83001.47308743492,1.7847357854836976,0.0009505400408911767,0.2142912959778231,0.7847581639812857,0,单调下降（上角点 $Q=1$）,[],True
指数型,4.216965034285822e+26,0.9999999777760276,567.3885888836659,97219.69581503085,1.7806308613121966,0.0008349084830049484,0.2143160983899043,0.7848489931270908,0,单调下降（上角点 $Q=1$）,[],True
指数型,5.623413251903491e+26,0.9999999777760276,646.0552380119921,113870.00946106906,1.7767036142134252,0.0007333207475917586,0.2143378884697248,0.7849287907826834,0,单调下降（上角点 $Q=1$）,[],True
指数型,7.498942093324558e+26,0.9999999777760276,735.638993705046,133368.43404628866,1.7729463236199452,0.0006440768174620565,0.21435703086278146,0.7849988923197564,0,单调下降（上角点 $Q=1$）,[],True
指数型,1e+27,0.9999999777760276,837.6553270773912,156201.96989448325,1.7693516092212989,0.0005656803882766344,0.21437384651914634,0.7850604730925769,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,1e+17,0.6200709872657585,0.025560112605458957,0.5121942451083789,4.893061801550283,3.3470525430095764e-07,0.2144951104444532,0.7855045548502925,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,1.333521432163324e+17,0.6200709872657585,0.029107369431915744,0.5997835039288937,4.75461344814431,2.9391540718043124e-07,0.2144951191936789,0.785504586890914,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,1.778279410038923e+17,0.6200709872657585,0.033146918128420216,0.7023512100385749,4.622148977089592,2.5809653289099876e-07,0.21449512687665487,0.7855046150268122,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,2.3713737056616554e+17,0.6200709872657585,0.03774707945562331,0.8224587946951663,4.495409758387108,2.266428300529713e-07,0.2144951336233226,0.7855046397338473,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,3.1622776601683795e+17,0.6200709872657585,0.04298565581201123,0.9631057135512999,4.374148340368978,1.9902232474403033e-07,0.2144951395477879,0.7855046614298873,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,4.216965034285823e+17,0.6200709872657585,0.04895124707384323,1.127804352925229,4.258127966547042,1.7476787353235783e-07,0.21449514475025086,0.7855046804818756,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,5.6234132519034906e+17,0.6200709872657585,0.05574474980485593,1.320667727812289,4.147122113345751,1.5346926069294704e-07,0.21449514931870067,0.7855046972120385,0,单调上升（下角点 $Q=Q_0$）,[],False
