model,date,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,IFEval_se,BBH_se,MATH Lvl 5_se,GPQA_se,MUSR_se,MMLU-PRO_se,C8_mean6
Alepach__notHumpback-M0,2025-01-06,0.22365988909426987,0.28640860961638603,0.0030211480362537764,0.29017857142857145,0.3478835978835979,0.11627327127659574,0.017931771054658346,0.005651246052226781,0.0015044916141439006,0.021466115440571226,0.016837661525085354,0.002922456648160972,0.21123751455594578
Alepach__notHumpback-M1,2025-01-06,0.16635859519408502,0.29109529595556327,0.006042296072507553,0.2924107142857143,0.3531746031746032,0.10987367021276596,0.016025639930548306,0.005630857427661854,0.0021273488582447798,0.02151461125992856,0.016907700978098447,0.0028511612265328563,0.20315919581587324
Alepach__notHumpback-M1-v2,2025-01-20,0.17005545286506468,0.27512584620725566,0.012084592145015106,0.265625,0.34656084656084657,0.1118683510638298,0.0161667580648002,0.005500833356861372,0.002999474705764784,0.02089005840079951,0.016856879537448355,0.002873700001615393,0.19688668147366864
Alibaba-NLP__gte-Qwen2-7B-instruct,2024-08-12,0.1645101663585952,0.4457559451484117,0.03474320241691843,0.25669642857142855,0.3558201058201058,0.33211436170212766,0.015954017926718064,0.006145968670590454,0.004984327226999094,0.0206604254917247,0.016931503995628427,0.0042938218055780025,0.26494003500293123
allenai__Llama-3.1-Tulu-3-70B,2024-11-27,0.7985212569316081,0.6129144245790661,0.3821752265861027,0.3705357142857143,0.4933862433862434,0.46451130319148937,0.017260802262371536,0.005777780118149535,0.012215338798034539,0.022842667733482962,0.017554205068502377,0.004546973612185238,0.5203406948267039
allenai__Llama-3.1-Tulu-3-8B-DPO,2024-11-22,0.7689463955637708,0.40479083492449225,0.18580060422960726,0.31026785714285715,0.41534391534391535,0.2898105053191489,0.018138757170523406,0.006054924735872148,0.009820483587131229,0.021880380205954585,0.017620680196624286,0.004136121811883724,0.3958266854206319
allenai__Llama-3.1-Tulu-3-8B-RM,2024-11-22,0.11460258780036968,0.292657524735289,0.0,0.25669642857142855,0.37566137566137564,0.10821143617021277,0.013707853566060982,0.005643204306302065,0.0,0.020660425491724744,0.01729785637217539,0.002832152707372059,0.19130489215644594
allenai__Llama-3.1-Tulu-3-8B-SFT,2024-11-22,0.7060998151571165,0.3834403749349071,0.11404833836858005,0.3013392857142857,0.42592592592592593,0.28116688829787234,0.01960361201563717,0.006071647566408284,0.00840199450320858,0.021702375698545707,0.017719263118463176,0.004098691780303771,0.3686701047331146
allknowingroger__Gemma2Slerp1-2.6B,2024-12-06,0.4713493530499076,0.4322166290574553,0.10196374622356495,0.3013392857142857,0.455026455026455,0.26886635638297873,0.02148122093008049,0.006184239992175818,0.007928857380295456,0.021702375698545707,0.017737179343824502,0.004042180957875518,0.3384603042424412
allknowingroger__Gemma2Slerp1-27B,2024-12-06,0.6746765249537893,0.6370421801770526,0.24924471299093656,0.36830357142857145,0.47619047619047616,0.44564494680851063,0.02016083991260304,0.005830157273452837,0.010934600104046937,0.022814103859296185,0.018012817055919225,0.0045314546200454124,0.4751837354248895
