ym,t,bin,n,Fmax,Fp90,xmed
2025-01,0.6084715664102297,"[8,16)B",396,42.73562035742862,39.98633499390891,1.0048755144678296
2025-01,0.6084715664102297,"[16,32)B",6,39.11615849607893,35.07894619878995,1.285669805960068
2025-01,0.6084715664102297,"[32,80+]B",24,46.76723892225559,44.64193604072568,1.8485216407506466
2025-02,0.6880116160836864,"[0,2)B",74,25.69666706814397,15.353763143585299,0.09201847075279702
2025-02,0.6880116160836864,"[2,4)B",69,29.412433568419846,25.79053676690254,0.5069107255515181
2025-02,0.6880116160836864,"[4,8)B",153,37.29594433542609,36.54917600320764,0.8815558297933116
2025-02,0.6880116160836864,"[8,16)B",356,43.65996249118637,41.12705880539595,0.931356150467928
2025-02,0.6880116160836864,"[16,32)B",32,44.731545333278405,39.24206236118342,1.3723964324231115
2025-02,0.6880116160836864,"[32,80+]B",8,47.21693789116021,46.92065153023433,1.6819592790056161
2025-03,0.7453118307976191,"[0,2)B",59,23.911624360048616,17.507477680245945,0.15715443990628153
2025-03,0.7453118307976191,"[2,4)B",51,27.967747014863694,25.277381748530814,0.5310955468700279
2025-03,0.7453118307976191,"[4,8)B",73,36.29850278097941,35.4890122534537,0.8815558297933116
2025-03,0.7453118307976191,"[8,16)B",135,47.09154471380421,42.428066763370374,1.1674354940420362
2025-03,0.7453118307976191,"[16,32)B",20,40.18907381003569,35.81840395980192,1.3723964324231115
2025-03,0.7453118307976191,"[32,80+]B",4,43.15901797697317,43.043726648758884,1.6819592790056161
