model_dir,BBH,GPQA,IFEval,MATH Lvl 5,MMLU-PRO,MUSR
DreadPoor_OrangeJ-8B-Model_Stock,53.879534802985596,30.11744966442953,78.41039552830932,17.598187311178247,39.68583776595745,40.21164021164021
DreadPoor_Promissum_Mane-8B-LINEAR,54.40027772956084,30.453020134228186,71.50361042035134,15.55891238670695,38.50565159574468,41.93121693121693
DreadPoor_Promissum_Mane-8B-LINEAR-lorablated,54.29612914424579,30.369127516778523,71.56356245872064,15.332326283987916,37.39195478723404,41.93121693121693
DreadPoor_RPMash-8B-Model_Stock,51.43204304808193,28.691275167785236,45.635026174993456,10.80060422960725,36.03723404255319,40.476190476190474
DreadPoor_RPMash_V3-8B-Model_Stock,52.07429265752474,30.033557046979865,70.491961329273,10.42296072507553,36.13696808510639,37.698412698412696
DreadPoor_Rusted_Gold-8B-LINEAR,53.61916333969797,29.86577181208054,72.96240641497891,19.335347432024168,37.799202127659576,41.66666666666667
DreadPoor_Rusted_Platinum-8B-LINEAR,54.13990626627322,28.02013422818792,71.79838384375678,17.220543806646525,37.30053191489361,39.55026455026455
DreadPoor_Rusted_Platinum-8B-Model_Stock,52.28258982815483,26.845637583892618,44.078821970150315,10.196374622356496,35.46376329787234,37.301587301587304
DreadPoor_Sellen-8B-model_stock,52.23051553549731,27.432885906040266,71.12893788481229,13.36858006042296,35.696476063829785,39.55026455026455
DreadPoor_Something-8B-Model_Stock,53.82746051032807,31.711409395973156,50.43107842746135,17.97583081570997,38.85472074468085,41.7989417989418
DreadPoor_Spring_Dusk-8B-SCE,56.18816177746919,28.7751677852349,65.14636719459922,7.628398791540786,34.358377659574465,45.8994708994709
DreadPoor_Summer_Dawn-8B-SCE,53.68859572990801,30.033557046979865,66.42032030567783,17.220543806646525,37.53324468085106,41.13756613756614
DreadPoor_Summer_Dusk-8B-TIES,53.445582364172886,30.70469798657718,49.22206412319312,18.051359516616312,38.55551861702128,42.592592592592595
DreadPoor_Summer_Rain-8B-SCE,58.37528206908523,30.369127516778523,54.59259210007226,7.02416918429003,35.505319148936174,44.70899470899471
DreadPoor_Summer_Rain-8B-TIES,58.37528206908523,30.369127516778523,54.44021861992845,7.02416918429003,35.505319148936174,44.70899470899471
DreadPoor_Sun-8B-Model_Stock,52.421454608574905,29.949664429530205,77.58358932077998,20.996978851963746,38.347739361702125,40.87301587301587
DreadPoor_Sweetened_Condensed_Milk-8B-Model_Stock,53.879534802985596,30.285234899328863,74.17142071924717,18.731117824773413,38.48071808510639,41.00529100529101
DreadPoor_TEST02-Ignore,55.91043221662906,28.439597315436245,61.18964347930158,8.685800604229607,34.68251329787234,41.93121693121693
DreadPoor_TEST03-ignore,53.67123763235549,30.87248322147651,69.67014189018471,16.540785498489427,37.890625,41.7989417989418
DreadPoor_TEST06-ignore,55.05988543655616,28.691275167785236,73.22969720342026,11.782477341389729,36.15359042553192,42.195767195767196
DreadPoor_TEST07-ignore,55.47647977781636,30.87248322147651,73.99655137258031,16.61631419939577,38.796542553191486,40.87301587301587
DreadPoor_TEST08-ignore,54.34820343690332,31.29194630872483,74.66599733152479,18.202416918429005,38.53058510638298,40.74074074074074
DreadPoor_Trinas_Nectar-8B-model_stock,52.45617080367991,28.60738255033557,72.59272064788095,15.256797583081571,36.178523936170215,40.60846560846561
DreadPoor_UNTESTED-VENN_1.2-8B-Model_Stock,54.55650060753341,31.543624161073826,47.176270074513404,15.407854984894259,37.8656914893617,44.44444444444444
DreadPoor_VENN_1.2-8B-Model_Stock,54.46971011977087,29.697986577181208,72.26049105262923,17.069486404833835,37.20910904255319,41.93121693121693
DreadPoor_WIP-Acacia-8B-Model_Stock,51.692414511369556,30.620805369127517,62.46359659038019,16.691842900302113,37.36702127659575,42.195767195767196
DreadPoor_WIP_Damascus-8B-TIES,53.96632529074813,30.70469798657718,47.76326812856554,16.540785498489427,37.60804521276596,41.13756613756614
DreadPoor_Wannabe-8B-Model_Stock,53.67123763235549,30.11744966442953,72.04816553411615,17.749244712990937,38.3061835106383,41.269841269841265
DreadPoor_What_A_Thrill-8B-Model_Stock,52.99427182780767,29.697986577181208,70.64433480941679,18.202416918429005,36.15359042553192,40.74074074074074
DreadPoor_Winter-8B-SCE,52.40409651102239,29.949664429530205,75.36292592543342,19.184290030211482,38.38929521276596,40.60846560846561
DreadPoor_Winter_Dawn-8B-TIES,52.87276514494012,30.956375838926174,54.96482665992899,17.522658610271904,39.104055851063826,42.72486772486773
DreadPoor_Winter_Dusk-8B-TIES,49.366429439333444,29.949664429530205,71.5261062868744,7.175226586102719,34.782247340425535,36.77248677248677
DreadPoor_Winter_Night-8B-Model_Stock,51.709772608922066,30.620805369127517,70.40452665593958,14.577039274924472,36.66057180851064,39.021164021164026
DreadPoor_Yafune-8B-Model_Stock,54.539142509980906,32.718120805369125,75.33045652202823,16.61631419939577,38.50565159574468,41.66666666666667
DreadPoor_Yearn_V3-8B-Model_Stock,53.18521090088526,30.536912751677853,72.89746760816855,18.957703927492446,38.015292553191486,39.021164021164026
DreadPoor_ZEUS-8B-V17-Abliterated_ALT,52.109008852629756,30.788590604026844,55.11221337163171,19.033232628398792,38.90458776595745,41.4021164021164
DreadPoor_Zelus-8B-Model_Stock,52.95955563270266,30.620805369127517,77.8833495126265,16.46525679758308,38.41422872340425,42.06349206349206
