C,L_ctx,g_form,N,D,Q,L,tokens_per_param,C_train,C_quality,C_attn,share_train,share_quality,share_attn,Q_at_lower,Q_at_upper,D_at_wall,Q0_scenario,Q0,regime
1e+19,2048,power,479683123.78415316,1428079110.4680316,1.0,2.922028704387492,2.9771301921195708,4.1101526923212006e+18,5.609260883883005e+18,2.8058642379579402e+17,0.41101526923212006,0.5609260883883005,0.0280586423795794,False,True,False,Pile 自然配比 Q_ref,0.6804916175120665,R2 质量饱和(Q*=1)
1e+19,2048,log,271395642.77613866,4122316672.0715513,1.0,2.7578647897078783,15.189325185562591,6.712672697661909e+18,2.8290755128443715e+18,4.582517894937197e+17,0.6712672697661909,0.2829075512844371,0.04582517894937197,False,True,False,Pile 自然配比 Q_ref,0.6804916175120665,R2 质量饱和(Q*=1)
1e+19,2048,filter,311659296.691868,3441856220.8439565,0.8616864474444703,2.8945254934778544,11.043650092834735,6.436118934616548e+18,3.1245086794469606e+18,4.393723859364898e+17,0.6436118934616548,0.31245086794469606,0.04393723859364898,False,False,False,Pile 自然配比 Q_ref,0.6804916175120665,R1 质量内点(Q0<Q*<1)
1e+22,2048,exp,4732522368.410889,296079948121.0716,1.0,2.0374914578481724,62.56282064240742,8.407229863925441e+21,1.0188365773639161e+21,5.7393355871064346e+20,0.8407229863925441,0.1018836577363916,0.057393355871064346,False,True,False,Pile 自然配比 Q_ref,0.6804916175120665,R2 质量饱和(Q*=1)
1e+22,2048,power,4802476638.56319,288103150585.9846,1.0,2.038302916115465,59.99053660616652,8.301651901113864e+21,1.1316219957700968e+21,5.6672610311603985e+20,0.8301651901113865,0.11316219957700968,0.056672610311603984,False,True,False,Pile 自然配比 Q_ref,0.6804916175120665,R2 质量饱和(Q*=1)
1e+22,2048,log,4298483175.697906,354134726983.51324,1.0,2.0325555372911617,82.38597489125117,9.133452995214016e+21,2.430366136460403e+20,6.235103911399436e+20,0.9133452995214015,0.02430366136460403,0.06235103911399436,False,True,False,Pile 自然配比 Q_ref,0.6804916175120665,R2 质量饱和(Q*=1)
1e+22,2048,filter,5155276674.575496,257801029603.33945,0.9656163996280809,2.0512411699777555,50.0072151073381,7.974213807573856e+21,1.481413196495769e+21,5.4437299593037526e+20,0.7974213807573856,0.1481413196495769,0.05443729959303752,False,False,False,Pile 自然配比 Q_ref,0.6804916175120665,R1 质量内点(Q0<Q*<1)
1e+24,2048,exp,34050710693.405,4510752072809.3,1.0,1.8564097072764354,132.47159841756107,9.215658830454384e+23,1.5521886005326365e+22,6.291223094923526e+22,0.9215658830454384,0.015521886005326366,0.06291223094923526,False,True,False,Pile 自然配比 Q_ref,0.6804916175120665,R2 质量饱和(Q*=1)
1e+24,2048,power,34135758452.077106,4489853957041.229,1.0,1.8564673160742717,131.52934519807127,9.195874209759717e+23,1.7635411085401816e+22,6.277716793862634e+22,0.9195874209759717,0.017635411085401818,0.06277716793862634,False,True,False,Pile 自然配比 Q_ref,0.6804916175120665,R2 质量饱和(Q*=1)
1e+24,2048,log,33561674002.491966,4633851827997.248,1.0,1.8560799609376248,138.06974668942863,9.331189465625706e+23,3.180133352091152e+21,6.370092008533816e+22,0.9331189465625707,0.0031801333520911517,0.06370092008533816,False,True,False,Pile 自然配比 Q_ref,0.6804916175120665,R2 质量饱和(Q*=1)
1e+24,2048,filter,36488387740.25843,3998128511208.3667,0.9869253422569043,1.8597225780427908,109.57262731554304,8.753115801141185e+23,6.493381601675779e+22,5.975460386912381e+22,0.8753115801141185,0.0649338160167578,0.05975460386912381,False,False,False,Pile 自然配比 Q_ref,0.6804916175120665,R1 质量内点(Q0<Q*<1)
1e+19,2048,exp,208261833.86681834,7491337857.694893,0.8042412434290789,2.8552766034413883,35.970766791987145,9.360958562156763e+18,0.0,6.390414378432351e+17,0.9360958562156763,0.0,0.0639041437843235,True,False,False,arxiv 域(最高),0.8042412434290789,R0 不投质量(Q*=Q0)
1e+19,2048,power,208261752.57191628,7491340781.935999,0.8042412434290789,2.8552766034413826,35.97079487434503,9.360958562156765e+18,0.0,6.390414378432352e+17,0.9360958562156765,0.0,0.06390414378432352,True,False,False,arxiv 域(最高),0.8042412434290789,R0 不投质量(Q*=Q0)
1e+19,2048,log,240067333.39026624,5179538005.560892,1.0,2.7328947885287405,21.575355265602752,7.460627263131249e+18,2.0300605823723246e+18,5.0931215449642656e+17,0.7460627263131249,0.20300605823723247,0.05093121544964266,False,True,False,arxiv 域(最高),0.8042412434290789,R2 质量饱和(Q*=1)
1e+19,2048,filter,225957025.9858235,6381034957.962861,0.8228559353955127,2.8547171655359582,28.24003781304506,8.651038090877175e+18,7.583843754522776e+17,5.905775336705485e+17,0.8651038090877174,0.07583843754522776,0.05905775336705485,False,False,False,arxiv 域(最高),0.8042412434290789,R1 质量内点(Q0<Q*<1)
1e+22,2048,exp,4635848302.15009,307675277359.3504,1.0,2.036376492820741,66.36871124895345,8.558015472959417e+21,8.577573374198871e+20,5.8422718962069615e+20,0.8558015472959417,0.08577573374198871,0.05842271896206962,False,True,False,arxiv 域(最高),0.8042412434290789,R2 质量饱和(Q*=1)
1e+22,2048,power,4653915953.976106,305455781408.5212,1.0,2.036584262463109,65.63414217816995,8.529393205988129e+21,8.883335511497494e+20,5.822732428621229e+20,0.852939320598813,0.08883335511497494,0.05822732428621229,False,True,False,arxiv 域(最高),0.8042412434290789,R2 质量饱和(Q*=1)
1e+22,2048,log,4247336496.76778,362113294665.8725,1.0,2.031987364980387,85.25655900855524,9.228102074395114e+21,1.4192615732617971e+20,6.299717682787064e+20,0.9228102074395114,0.014192615732617972,0.06299717682787065,False,True,False,arxiv 域(最高),0.8042412434290789,R2 质量饱和(Q*=1)
1e+22,2048,filter,5090248697.475352,264012991397.29214,0.9653048623794025,2.050552880043588,51.866422858324505,8.063350713459826e+21,1.386191211167982e+21,5.504580753721908e+20,0.8063350713459826,0.1386191211167982,0.055045807537219084,False,False,False,arxiv 域(最高),0.8042412434290789,R1 质量内点(Q0<Q*<1)
1e+24,2048,exp,33935872545.57494,4539197997208.467,1.0,1.8563320918521937,133.75810482292593,9.242498681543734e+23,1.2654674179621384e+22,6.309545766600522e+22,0.9242498681543735,0.012654674179621385,0.06309545766600522,False,True,False,arxiv 域(最高),0.8042412434290789,R2 质量饱和(Q*=1)
1e+24,2048,power,33957107451.53179,4533919861885.136,1.0,1.8563464190736796,133.51902450338457,9.237528235600064e+23,1.3185650351630392e+22,6.3061526088363104e+22,0.9237528235600064,0.013185650351630392,0.0630615260883631,False,True,False,arxiv 域(最高),0.8042412434290789,R2 质量饱和(Q*=1)
1e+24,2048,log,33508640725.36342,4647511313756.771,1.0,1.8560443462207945,138.69590688108602,9.343907212784243e+23,1.821538815635228e+21,6.378773990594044e+22,0.9343907212784244,0.001821538815635228,0.06378773990594044,False,True,False,arxiv 域(最高),0.8042412434290789,R2 质量饱和(Q*=1)
1e+24,2048,filter,36416036330.72479,4012970252440.0605,0.9869073718703881,1.8596744940425305,110.19788688683434,8.768188230418505e+23,6.3323678638492535e+22,5.9857498319657005e+22,0.8768188230418505,0.06332367863849253,0.059857498319657004,False,False,False,arxiv 域(最高),0.8042412434290789,R1 质量内点(Q0<Q*<1)
