cN,cD,eta,Qref,C,g_form,N,D,Q,L,share_quality,tpp,regime
0.4913228782327585,0.4012570020620268,0.5013053610553211,0.6581189310386709,1e+22,power,5190493752.457108,267873728549.5716,1.0,2.0223025562241395,0.1088111936923722,51.608525378296406,R2 质量饱和(Q*=1)
0.4913228782327585,0.4012570020620268,0.5013053610553211,0.6581189310386709,1e+22,log,4671990964.247865,325838572047.0905,1.0,2.017019644961374,0.02425706450941115,69.74297992880358,R2 质量饱和(Q*=1)
0.4913228782327585,0.4012570020620268,0.5013053610553211,0.6581189310386709,1e+22,filter,5541999599.145154,239522750660.07883,0.967796832341769,2.035083536283509,0.1491672699990285,43.2195539489077,R1 质量内点(Q0<Q*<1)
0.4913228782327585,0.4012570020620268,0.5013053610553211,0.6581189310386709,1e+24,exp,36972118371.65713,4158140886395.333,1.0,1.8461562240425862,0.014618368170097384,112.46693642479975,R2 质量饱和(Q*=1)
0.4913228782327585,0.4012570020620268,0.5013053610553211,0.6581189310386709,1e+24,power,37067800638.33161,4138185466988.331,1.0,1.8462138041218275,0.01680944610811657,111.63827893012503,R2 质量饱和(Q*=1)
0.4913228782327585,0.4012570020620268,0.5013053610553211,0.6581189310386709,1e+24,log,36479747554.429115,4263209891586.9727,1.0,1.8458610891232679,0.00317374817559781,116.86511495799438,R2 质量饱和(Q*=1)
0.4913228782327585,0.4012570020620268,0.5013053610553211,0.6581189310386709,1e+24,filter,39445615532.967514,3700415502069.8184,0.9877384160189013,1.849333293274161,0.06442166427078844,93.8105655615164,R1 质量内点(Q0<Q*<1)
0.538615976785296,0.3842276833055728,0.6045031741524959,0.67561119101785,1e+19,exp,464336639.6532043,1554142410.4404726,1.0,2.8844085703193487,0.5374542513260353,3.347016534385922,R2 质量饱和(Q*=1)
0.538615976785296,0.3842276833055728,0.6045031741524959,0.67561119101785,1e+19,power,489365029.5014413,1409463357.3714423,1.0,2.902816349588951,0.5579029180304202,2.8801881466834383,R2 质量饱和(Q*=1)
0.538615976785296,0.3842276833055728,0.6045031741524959,0.67561119101785,1e+19,log,278411639.2846988,4026842194.7710376,1.0,2.7427935859129273,0.28140709363719724,14.463627329363412,R2 质量饱和(Q*=1)
0.538615976785296,0.3842276833055728,0.6045031741524959,0.67561119101785,1e+19,filter,321758486.73743594,3273212400.711723,0.8678402277764534,2.883069634474813,0.3249512674390729,10.172885986322894,R1 质量内点(Q0<Q*<1)
0.538615976785296,0.3842276833055728,0.6045031741524959,0.67561119101785,1e+22,exp,4854941771.04996,289214279017.2903,1.0,2.031166279683607,0.10001621650488415,59.57111179826632,R2 质量饱和(Q*=1)
0.538615976785296,0.3842276833055728,0.6045031741524959,0.67561119101785,1e+22,power,4927088921.550906,281381541056.78156,1.0,2.031969219525429,0.11137826465261157,57.109085209732875,R2 质量饱和(Q*=1)
0.538615976785296,0.3842276833055728,0.6045031741524959,0.67561119101785,1e+22,log,4419132797.830508,344545987650.65564,1.0,2.026410499316841,0.02407784569632026,77.96687798560933,R2 质量饱和(Q*=1)
0.538615976785296,0.3842276833055728,0.6045031741524959,0.67561119101785,1e+22,filter,5290733461.62344,250664186970.4928,0.9667810345392233,2.0450556931949637,0.14996051344776087,47.377965416080045,R1 质量内点(Q0<Q*<1)
0.538615976785296,0.3842276833055728,0.6045031741524959,0.67561119101785,1e+24,exp,35001725730.57809,4389714153768.927,1.0,1.852646642524339,0.01518052990639718,125.41422064609803,R2 质量饱和(Q*=1)
0.538615976785296,0.3842276833055728,0.6045031741524959,0.67561119101785,1e+24,power,35089204565.90649,4369368395819.32,1.0,1.8527033806122708,0.01729511707578987,124.52172826011288,R2 质量饱和(Q*=1)
0.538615976785296,0.3842276833055728,0.6045031741524959,0.67561119101785,1e+24,log,34511716168.11262,4506430411488.87,1.0,1.852330077341234,0.003149220712999574,130.57682757754665,R2 质量饱和(Q*=1)
0.538615976785296,0.3842276833055728,0.6045031741524959,0.67561119101785,1e+24,filter,37481411421.80329,3890081116604.209,0.9873523443404901,1.8559440043216826,0.06544358789232797,103.78694315500915,R1 质量内点(Q0<Q*<1)
0.561552890877837,0.3785390377073397,0.5275588355926053,0.6783494337134703,1e+19,exp,456320329.54389375,1568998467.2710135,1.0,2.8832995970198656,0.5410944982493239,3.4383707358365467,R2 质量饱和(Q*=1)
0.561552890877837,0.3785390377073397,0.5275588355926053,0.6783494337134703,1e+19,power,480725907.47323513,1423987397.0231466,1.0,2.9017008528586237,0.5612323487264648,2.96216071338412,R2 质量饱和(Q*=1)
0.561552890877837,0.3785390377073397,0.5275588355926053,0.6783494337134703,1e+19,log,272210892.1920284,4104175939.4979477,1.0,2.739397806998259,0.28391859437113703,15.077192196272215,R2 质量饱和(Q*=1)
0.561552890877837,0.3785390377073397,0.5275588355926053,0.6783494337134703,1e+19,filter,317768288.0456519,3312386704.6662307,0.867464807563118,2.8812802862784883,0.32534380181395395,10.423905812119173,R1 质量内点(Q0<Q*<1)
0.561552890877837,0.3785390377073397,0.5275588355926053,0.6783494337134703,1e+22,exp,4739391819.338605,295628241778.3398,1.0,2.0275499549230704,0.10195218063635633,62.37683083556394,R2 质量饱和(Q*=1)
0.561552890877837,0.3785390377073397,0.5275588355926053,0.6783494337134703,1e+22,power,4810168692.820011,287583326404.32404,1.0,2.0283577943187665,0.11334444818112727,59.78653655818572,R2 质量饱和(Q*=1)
0.561552890877837,0.3785390377073397,0.5275588355926053,0.6783494337134703,1e+22,log,4305119699.380079,353533344712.5406,1.0,2.0226908455407524,0.024456722073759277,82.11928341120179,R2 质量饱和(Q*=1)
0.561552890877837,0.3785390377073397,0.5275588355926053,0.6783494337134703,1e+22,filter,5185208019.650523,255164936173.21182,0.9666735925441611,2.0416404875070366,0.15195654509502707,49.21016383647606,R1 质量内点(Q0<Q*<1)
0.561552890877837,0.3785390377073397,0.5275588355926053,0.6783494337134703,1e+24,exp,34097574756.812366,4504494827953.195,1.0,1.8494821738701237,0.015534478966301014,132.1060180989336,R2 质量饱和(Q*=1)
0.561552890877837,0.3785390377073397,0.5275588355926053,0.6783494337134703,1e+24,power,34183666639.44716,4483402160947.112,1.0,1.8495392543145277,0.017670313166632295,131.15626852542994,R2 质量饱和(Q*=1)
0.561552890877837,0.3785390377073397,0.5275588355926053,0.6783494337134703,1e+24,log,33608229842.676258,4627335461333.732,1.0,1.8491590952340884,0.0032010971245699134,137.68459341639795,R2 质量饱和(Q*=1)
0.561552890877837,0.3785390377073397,0.5275588355926053,0.6783494337134703,1e+24,filter,36604375387.58405,3978283763077.151,0.9873000274596812,1.8528285426676596,0.06661743263744287,108.68328501588246,R1 质量内点(Q0<Q*<1)
0.5497580640153078,0.3504999978070875,0.6726989348117934,0.6630934981716419,1e+19,exp,450104172.40526384,1566201409.110915,1.0,2.88571102852913,0.548152819359086,3.479642058729333,R2 质量饱和(Q*=1)
0.5497580640153078,0.3504999978070875,0.6726989348117934,0.6630934981716419,1e+19,power,475944963.4314655,1411638378.1056104,1.0,2.9055466748177676,0.56936321951341,2.9659697792114184,R2 质量饱和(Q*=1)
0.5497580640153078,0.3504999978070875,0.6726989348117934,0.6630934981716419,1e+19,log,269591010.6692657,4066131015.492774,1.0,2.741728916303222,0.2973845385373984,15.08259123847829,R2 质量饱和(Q*=1)
0.5497580640153078,0.3504999978070875,0.6726989348117934,0.6630934981716419,1e+19,filter,314026519.55780226,3331106161.0415077,0.8655205637716378,2.879583717196083,0.32952015517410516,10.607722448830813,R1 质量内点(Q0<Q*<1)
0.5497580640153078,0.3504999978070875,0.6726989348117934,0.6630934981716419,1e+22,exp,4614460553.006892,302327314012.30084,1.0,2.0311180972258733,0.10581114828595226,65.51736883205062,R2 质量饱和(Q*=1)
