C,L_ctx,gprime_star_at_Q0,gprime_star_at_Q1
5.6234132519034905e+25,2048,6735862513961.058,7231991428593.977
5.6234132519034905e+25,32768,9738061466834.078,10442228753899.85
5.6234132519034905e+25,131072,16326610620682.477,17487292160026.28
1e+26,2048,8735928667594.452,9370653705741.2
1e+26,32768,12629592619742.404,13534076051983.23
1e+26,131072,21174419644949.062,22670975166516.684
1.7782794100389227e+26,2048,11329888426463.998,12144329352797.572
1.7782794100389227e+26,32768,16379660686518.475,17543966770103.096
1.7782794100389227e+26,131072,27461752308635.973,29393885088784.13
3.1622776601683796e+26,2048,14694035317602.47,15741549705557.117
3.1622776601683796e+26,32768,21243256020947.414,22744476611157.945
3.1622776601683796e+26,131072,35616000943239.47,38113010639081.62
5.623413251903491e+26,2048,19057122578364.54,20406963024179.68
5.623413251903491e+26,32768,27551028126942.285,29489275881326.496
5.623413251903491e+26,131072,46191374657334.75,49421047641483.25
1e+27,2048,24715739163146.594,26457656271294.44
1e+27,32768,35731528516839.75,38236754629013.35
1e+27,131072,59906897647970.305,64086851311139.516
