score,set,domain,n_docs,mean_doc,ci95_low,ci95_high,median_doc,trimmed_mean_10,token_weighted_mean,P10,P90,share_Q_ge_0.6
Q_topsis,A1,book,171.0,0.6574428728794487,0.6508960494219402,0.664519926047124,0.6581533777831982,0.6575077971005732,0.6572642293137698,0.5971920357365758,0.7141499212119042,0.8771929824561403
Q_topsis,A1,c4,10000.0,0.6557687672905251,0.6543901408651399,0.6572064282800599,0.6538354978461456,0.6540157790720802,0.6950757460720599,0.5684519939557655,0.7472801807776189,0.8042
Q_topsis,A1,commoncrawl,9640.0,0.66515492811155,0.6636671896688884,0.6665038462955704,0.6610111788988899,0.664103013056848,0.688336945441575,0.5815993663508549,0.758264699450832,0.8474066390041494
Q_topsis,A1,github,10000.0,0.5357525019475227,0.5345538200002921,0.5370784965634897,0.5372937203833834,0.535578145169408,0.5779069771170542,0.4486956239675767,0.6165892163159216,0.1523
Q_topsis,A1,stackexchange,10000.0,0.650729593304055,0.6497140433547721,0.6518303346013554,0.6520357520571585,0.6509600019732161,0.6668834207719769,0.5808234825010422,0.7187976172036533,0.8313
Q_topsis,A1,wikipedia,10000.0,0.5889916641275433,0.5876559178221774,0.5904799850598984,0.5873619397299888,0.5887228688994639,0.6518956612949316,0.5034709901968681,0.6758930865382919,0.4283
Q_topsis,A2,arxiv,17523.0,0.7548485173885298,0.7543185504363044,0.7552897791879178,0.7566268909537942,0.7564102077327429,0.7531353953396822,0.720011394565907,0.7898037063489273,0.9957199109741482
Q_topsis,A3,github,203752.0,0.5349632504910231,0.5346768243973662,0.5352203975918759,0.5365231603604279,0.5346135976086729,0.5758335431501714,0.44817450660840413,0.6159933339509167,0.14799363932623974
Q_resolved,A1,arxiv,1419.0,0.8035531078343083,0.8015425973893233,0.8058257985631188,0.8121635052049833,0.808963086191562,0.8042412434290789,0.75491483905911,0.8475574623698136,0.9915433403805497
Q_resolved,A1,book,171.0,0.6585830403712839,0.6472606633452155,0.6703395657675981,0.6561118711783924,0.6586623998442687,0.6664133758338617,0.544503026172847,0.768966105523092,0.7485380116959064
Q_resolved,A1,c4,10000.0,0.6002983226622955,0.5985118443190975,0.6024933857461533,0.5992501472987003,0.6002955269042671,0.6572393252136888,0.4646952025177373,0.7366421030012708,0.4962
Q_resolved,A1,commoncrawl,9640.0,0.6286957832157097,0.6269198004977213,0.6306149001141393,0.6206691541546782,0.6267885292958549,0.6648441915231624,0.5126336395190365,0.770351042056775,0.5913900414937759
Q_resolved,A1,github,10000.0,0.48926966429466995,0.48742266491986946,0.4915739837073538,0.5020135460625695,0.4935009052616227,0.5567680249763688,0.33046174299005326,0.6199268097587439,0.1444
Q_resolved,A1,stackexchange,10000.0,0.6404210355623146,0.6389425943962656,0.6416996824475567,0.6400675755001494,0.641280399967299,0.6674442442920898,0.5481267320256711,0.7357010213188325,0.728
Q_resolved,A1,wikipedia,10000.0,0.5370280676401217,0.5350280908100365,0.5390336620150326,0.5358150944218292,0.5370773390976288,0.63403127157961,0.4096455896644518,0.6675975881963324,0.2704
Q_resolved,A2,arxiv,17523.0,0.8037520572050393,0.8030997654509332,0.8043772883934499,0.8121141805855198,0.8090350170179026,0.8044400315076432,0.7544825684529223,0.8464187689305526,0.9928094504365691
Q_resolved,A3,github,203752.0,0.48807196738659636,0.48754493892510553,0.4885195557664261,0.5003242077306116,0.4921496858585871,0.5528664163170094,0.3287776595159738,0.6195319088414485,0.14300227727825984
Q_resolved_lam0,A1,arxiv,1419.0,0.8441987986682588,0.8423826783807457,0.8460075679476391,0.8487687665535517,0.8475736656426414,0.8443741771081491,0.8048978322810599,0.8807433762151622,0.9985905567300916
Q_resolved_lam0,A1,book,171.0,0.7580304859826985,0.7507224643412423,0.7663210914032734,0.7618160943325669,0.7590635152856342,0.7602304090480224,0.681693882772664,0.8282450812545465,0.9941520467836257
Q_resolved_lam0,A1,c4,10000.0,0.7240537138908975,0.7224181436251345,0.7256647098661954,0.7327129149210541,0.7285558503974887,0.767957058534063,0.6127459108563406,0.8219739788460373,0.9158
Q_resolved_lam0,A1,commoncrawl,9640.0,0.7357481222604882,0.7342917306378981,0.7370965514252447,0.7391509683147779,0.7386512538446229,0.7628436141077334,0.6405531224152478,0.8300987654493367,0.9542531120331951
Q_resolved_lam0,A1,github,10000.0,0.5540591052789997,0.5520782681857921,0.555877876907712,0.5625443556532794,0.5575097541308889,0.6231628197231124,0.41611524439981074,0.6722259801247152,0.3397
Q_resolved_lam0,A1,stackexchange,10000.0,0.7025035260394595,0.7010430866796183,0.7038603538188812,0.7055146836668325,0.7042579815337003,0.7221540016728739,0.6207117970686026,0.7813419246813592,0.9396
Q_resolved_lam0,A1,wikipedia,10000.0,0.639707557827647,0.6379821766236684,0.6416307615856514,0.6458766732868837,0.6435890375194913,0.7268168785747888,0.5174078499853038,0.755720971305639,0.6832
Q_resolved_lam0,A2,arxiv,17523.0,0.8440054079920007,0.8435808358640503,0.8445804962911216,0.8491600435111175,0.8474590380575082,0.844167335959026,0.8059768816788871,0.8792001747669255,0.9983450322433374
Q_resolved_lam0,A3,github,203752.0,0.5528338642078096,0.5524544261225299,0.5532344266812714,0.561495682027545,0.5561415243571382,0.6191062919380902,0.41492157816973513,0.671719297833881,0.3322126899367859
