domain_i,domain_j,coef,ci_low,ci_high,significant,co_occurrence_both_gt_1pct
pubmed_central,hackernews,-1.9464728883166582,-6.577386254166601,2.665451568568459,False,0.12890625
freelaw,pile_cc,-1.9243290658485381,-3.0556747192637768,-1.0938713807568008,True,0.21614583333333334
stackexchange,pubmed_abstracts,-1.8369534954310156,-2.791559341657022,-0.8560638783184912,True,0.20182291666666666
wikipedia_en,pile_cc,-1.751673662546551,-2.5235273846000186,-0.9679927778095978,True,0.20182291666666666
github,pile_cc,-1.739199778104112,-2.2268306157354836,-1.2428340797789512,True,0.23307291666666666
arxiv,pubmed_abstracts,-1.5559934024957676,-2.610145247991278,-0.42577318308079615,True,0.2109375
github,pubmed_abstracts,-1.5515253293779299,-2.440583237670052,-0.6727320434012666,True,0.20572916666666666
pubmed_abstracts,uspto_backgrounds,-1.4652029299852076,-2.907246787770338,0.12101923984700845,False,0.19401041666666666
wikipedia_en,hackernews,-1.3771867104501285,-7.270298541127301,5.285340285175852,False,0.10026041666666667
pile_cc,pubmed_abstracts,-1.2207885497381932,-2.4592500846611784,0.06445672687336212,False,0.19791666666666666
enron_emails,pubmed_abstracts,-1.0630023325397502,-15.17609421229669,13.378710117040201,False,0.036458333333333336
github,stackexchange,-0.9990361414976576,-1.4150575383509103,-0.5432127711836102,True,0.22786458333333334
nih_exporter,uspto_backgrounds,-0.8536612576403119,-10.468533579409296,7.643551977482456,False,0.09114583333333333
stackexchange,hackernews,-0.7158726560733296,-4.66748002897646,4.019219262346222,False,0.13541666666666666
philpapers,ubuntu_irc,-0.49298089759507224,-11.809918052019373,15.644394328481107,False,0.0703125
philpapers,enron_emails,-0.4396959811509062,-3.3191516605822593,2.4788289539742654,False,0.01953125
nih_exporter,pile_cc,-0.4349934715967232,-5.950507228071385,5.519272273548179,False,0.10807291666666667
arxiv,enron_emails,-0.38560319056928744,-17.105402742168806,10.45641915634626,False,0.041666666666666664
europarl,pubmed_abstracts,-0.254236987362911,-5.0255665279374915,6.021646469763732,False,0.12760416666666666
philpapers,gutenberg_pg_19,-0.19900904748298814,-9.382104485049679,11.462645783935278,False,0.07291666666666667
pubmed_central,pubmed_abstracts,-0.1956090972395758,-1.125966573168209,1.0068252573449679,False,0.22265625
pubmed_central,europarl,-0.17212877151086084,-3.637230861167698,3.040026454150181,False,0.15494791666666666
nih_exporter,pubmed_central,-0.1445641909553182,-9.220321797843495,5.247254470457654,False,0.09635416666666667
nih_exporter,github,-0.09950582087263331,-10.039565517798762,3.8394872376120004,False,0.0859375
europarl,uspto_backgrounds,0.5743900043249669,-4.033190610469343,5.8786630644147015,False,0.13671875
arxiv,europarl,0.7109122160444395,-3.203296490765881,4.176670164796996,False,0.14192708333333334
enron_emails,europarl,0.7894492437224482,-4.969664278118928,5.163999644312865,False,0.02734375
pile_cc,hackernews,0.838850041182669,-4.719726848268071,6.043301339402149,False,0.11588541666666667
github,hackernews,0.8709124240444969,-3.9667594127939667,5.097647987991257,False,0.12630208333333334
enron_emails,hackernews,0.9836261492237993,-2.9717184199194953,5.098020671510823,False,0.01953125
wikipedia_en,philpapers,1.0075386291734711,-8.592608326764484,9.067161868438284,False,0.0859375
philpapers,europarl,1.2864687354903652,-6.7773256241321365,8.90729063708839,False,0.052083333333333336
hackernews,pubmed_abstracts,1.3870383268932953,-3.4538463024547177,6.843974261636038,False,0.11588541666666667
github,europarl,2.1834782211934245,-1.4255055379987032,5.266498374994288,False,0.1484375
stackexchange,europarl,2.417345580816049,-2.4647331981022687,6.480557177769813,False,0.14192708333333334
wikipedia_en,europarl,2.588867986604559,-2.2062646928115894,6.494423535935148,False,0.12109375
arxiv,nih_exporter,2.9181406984594007,-3.0782952264216665,8.043896030757944,False,0.09895833333333333
freelaw,europarl,3.04303819843237,-1.3219135767418317,7.997131300813887,False,0.13802083333333334
nih_exporter,gutenberg_pg_19,3.084871838766585,-9.627322710031919,12.373262333737324,False,0.08203125
github,philpapers,3.1044743516664894,-3.732426370692879,8.284744606958437,False,0.09635416666666667
nih_exporter,enron_emails,3.2244485624336643,-0.6793114839117828,6.161878569634875,False,0.01953125
pubmed_central,philpapers,3.2970737058676227,-4.183868210899726,10.249191454945208,False,0.09505208333333333
pile_cc,europarl,3.378094313102466,-0.5059664022159323,6.689971534745519,False,0.15494791666666666
nih_exporter,pubmed_abstracts,3.427889740406968,-3.259354712795588,10.695369062127615,False,0.07682291666666667
arxiv,philpapers,3.565289185301648,-4.2121931975109135,9.588711728204801,False,0.08723958333333333
philpapers,pile_cc,4.198479296218401,-2.824695558261538,7.199221644963577,False,0.07942708333333333
dm_mathematics,philpapers,4.63233532115513,-9.712737363999802,15.349695454832823,False,0.0703125
nih_exporter,wikipedia_en,4.779924126989011,-4.42502327734178,12.775064663544919,False,0.078125
github,enron_emails,4.951525856979127,-4.407025126641348,18.48555763229909,False,0.046875
freelaw,philpapers,5.312548518234501,-1.3810163812679574,13.789665073610127,False,0.07682291666666667
nih_exporter,hackernews,5.723592237609957,-6.6015117051707835,16.246579502950382,False,0.057291666666666664
wikipedia_en,enron_emails,6.461970680473055,-3.6671976462095355,14.999926523666426,False,0.0390625
philpapers,stackexchange,6.848246681397313,-0.022060105910153303,12.89041477503783,False,0.08854166666666667
enron_emails,gutenberg_pg_19,16.983967794458845,-7.341649371988954,27.067039825024615,False,0.036458333333333336
