model,N_B,D_B,loss_B10_est,classic_pred,Psi_hat
DeepSeek-V3 (Mar 2025),671.0,14800.0,1.8128,1.8129242810248574,0.9989906214674654
DeepSeek-R1,671.0,14800.0,1.8128,1.8129242810248574,0.9989906214674654
DeepSeek-V3,671.0,14800.0,1.8128,1.8129242810248574,0.9989906214674654
Pangu Ultra MoE,718.0,717.0,1.9241,1.924578013572155,0.9979639937621511
GLM-5,744.0,1532.3,1.886,1.8864127259588261,0.997900839030172
Kimi K2 Thinking,1000.0,700.0,1.9214,1.9218743132223335,0.997956218729315
Ling-1T,1000.0,20000.0,1.8011,1.8011909491883522,0.9991835283201052
Qwen3-Max,1000.0,36000.0,1.7894,1.7894224604711235,0.9997745486297527
Kimi K2,1000.0,15500.0,1.8068,1.8069278013879169,0.9989088909363578
DLRM-2021,1000.0,0.1,4.0812,4.086298750746586,0.9978724184647147
M6-T,1002.7,111.8,2.054,2.054872347424416,0.9976104937786774
Kimi K2.5,1040.0,929.5,1.9059,1.9062994887493627,0.9981547990654915
PanGu-Σ,1085.0,329.0,1.967,1.9676015651089727,0.9978345666343896
MoE-1.1T,1100.0,112.0,2.0528,2.0536596438405583,0.9976374430910472
GLaM,1200.0,600.0,1.9281,1.9285832890903896,0.997976051656153
QMoE: compressed SwitchTransformer,1571.0,576.0,1.9277,1.9281807968458382,0.9979830891649905
Switch,1571.0,86.4,2.074,2.0748697610990274,0.9977413012666901
Wu Dao 2.0,1750.0,4900.0,1.8325,1.832757448021189,0.9981991535029504
GPT-4 (Mar 2023),1800.0,5416.7,1.8291,1.8293089729207799,0.9985021040538615
GPT-4 (Jun 2023),1800.0,5416.7,1.8291,1.8293089729207799,0.9985021040538615
Llama 4 Behemoth (preview),2000.0,30000.0,1.7857,1.7857696587994714,0.9992741732263175
Grok 4,3000.0,27777.8,1.7838,1.7838379827938184,0.9995960995239475
Grok 3,3000.0,19444.4,1.7912,1.7912671139458465,0.9993385775903936
DLRM-2022,3000.0,0.1,4.0707,4.075760753594488,0.997878946942125
M6-10T,10000.0,0.1,4.0628,4.067943612953431,0.9978371328797472
