id,domain,fineweb_edu,fluency_en,modernbert_cleanliness,modernbert_readability,modernbert_reasoning,modernbert_professionalism,dsir_books,dsir_wiki,dsir_math,qurater,ad_en,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
BkiUes05qhLBc_f2-Wr-,arxiv,2.6142492294311523,-0.0888671875,-0.4335123697916667,-0.5100911458333334,-0.3720703125,-0.091796875,-21606.90720263,-21376.0138745,-16414.25575766,5.2470703125,0.0419921875,5321.0,358.0,6.17459212,27.40086449915429,22.755804456889507,0.32317771836530834,0.4524488057114317,29.786855989930523,55.325443786982255,2.7826435506990426,6.396729937981583
BkiUd_TxK7Ehm308qz28,arxiv,3.233511447906494,-0.177734375,-0.474609375,-0.45556640625,-0.4208984375,-0.19010416666666666,-138729.55651602,-133034.22295155,-100690.93535966,6.82421875,0.22265625,11945.0,2839.0,6.39288281,28.539137714524905,48.900151844708006,18.61397479954181,17.926689576174113,15.77846354872954,21.997471554993677,29.63854961351452,5.262118041021348
BkiUdAY4ubngyxyhl1m5,arxiv,0.39264366030693054,-0.052734375,-1.5297037760416667,-0.8557942708333334,-0.06705729166666667,-0.4007161458333333,-1367.49960334,-1322.40564399,-1351.58971126,0.8955078125,0.25390625,149.0,13.0,4.15923296,59.06040268456376,21.769911504424783,3.0335861321776814,3.9003250270855903,73.44287014168725,85.71428571428571,1.8606870229007633,6.194630872483222
BkiUfAA5qhDCOpZYLy50,arxiv,2.4103403091430664,-0.1826171875,-0.4967447916666667,-0.7106119791666666,-0.4537760416666667,-0.057291666666666664,-143111.57407904,-143632.46511578,-86502.31408602,4.467681884765625,0.1591796875,6946.0,372.0,6.06125732,24.042614454362223,40.52841651654834,0.4746835443037975,0.5063291139240507,9.210639836113044,30.53199691595991,4.841510465484745,7.733947595738554
BkiUds05qWTBJsoPR4MY,arxiv,1.723423719406128,-0.15625,-1.509521484375,-0.77099609375,-0.5152994791666666,-0.14680989583333334,-6460.50455836,-6515.57855044,-4566.06320968,4.81982421875,0.2998046875,428.0,30.0,4.87853977,45.5607476635514,35.46414674819344,0.8378718056137411,1.0892333472978635,17.54285878564191,27.027027027027028,3.435477145915418,5.577102803738318
BkiUc-Q4uzlhXz2JUE8i,arxiv,1.9330404996871948,-0.0244140625,-0.5677083333333334,-0.460205078125,-0.5592447916666666,-0.08138020833333333,-22875.50331019,-22479.16272847,-15232.74144393,5.17333984375,0.2548828125,3380.0,230.0,6.02282114,32.485207100591715,28.298388247040364,0.47530776177574974,0.38499928703835734,31.694156107587258,38.655462184873954,5.0824709558833465,6.224556213017752
BkiUdg84uzlh2XfbyE19,arxiv,1.5429575443267822,-0.1455078125,-0.453369140625,-0.5250651041666666,-0.384765625,-0.013997395833333334,-115972.01474972,-115681.1595689,-68553.45909487,3.72137451171875,0.357421875,18009.0,948.0,6.10757243,14.137375756566161,33.60041681921875,0.6644587256927501,0.49834404426956264,8.611621493999728,34.65136054421769,2.0138018881046515,5.348381364873119
BkiUdJ85qdmDGzKHbzOa,arxiv,1.296940565109253,-0.0732421875,-0.5051676432291666,-0.4991861979166667,-0.4993489583333333,0.011555989583333334,-31260.06583484,-31157.8979132,-19926.49196859,5.00927734375,0.080078125,5360.0,264.0,6.01096038,24.757462686567163,30.717542596592267,0.9271523178807948,0.6357615894039735,9.095304476141603,33.27841845140033,1.6623136272687615,4.930037313432836
BkiUdps5qhLBAgyeuUMy,arxiv,2.29486083984375,-0.1357421875,-0.5551961263020834,-0.4544270833333333,-0.462890625,-0.07877604166666667,-91054.04900483,-89851.80898298,-56721.82955925,4.99853515625,0.2001953125,9370.0,289.0,5.95227633,17.491995731056566,31.261082155714362,1.7476103118663706,0.5561456020083035,8.731813159904327,20.813953488372093,3.1533949562379373,5.526680896478122
BkiUbtg4uzki01MTHLn5,arxiv,1.6398935317993164,-0.1455078125,-0.477294921875,-0.5948079427083334,-0.4510091145833333,-0.02392578125,-61982.09270987,-61278.16853648,-36506.80950117,5.51806640625,0.26171875,5146.0,426.0,6.03460259,27.827438787407694,36.09917161613004,1.1860832894043227,0.9664382358109295,16.72410301874966,27.826941986234022,5.285191781143109,6.63544500582977
BkiUaTXxK0zjCrsN9Dv5,arxiv,2.379784345626831,0.068359375,-0.4522501627604167,-0.6435546875,-0.27734375,-0.14973958333333334,-42405.99515744,-41989.47658672,-33356.42685627,4.009765625,0.0751953125,12933.0,1085.0,6.07608492,15.94370988943014,24.300666818059824,2.86918719536293,1.2646555131076276,36.176730510626726,56.46551724137932,4.937425286149062,5.86948117219516
BkiUcebxK1ThhCdy7s-w,arxiv,1.7464556694030762,0.03759765625,-0.48046875,-0.5349934895833334,-0.5187174479166666,-0.033854166666666664,-50510.26517635,-50057.70109802,-32052.32912917,5.83544921875,0.291015625,9267.0,538.0,6.18190243,22.40207186791842,24.924008355953617,0.8913239021996892,0.539700711423665,7.978482632560229,23.581336696090794,1.8215336448931616,6.598143951656415
BkiUduc241xg-Kn-ATbT,arxiv,1.0624094009399414,-0.14697265625,-0.5341796875,-0.5830891927083334,-0.4104817708333333,-0.011393229166666666,-75950.29452723,-75314.37180944,-44933.36580391,2.3363800048828125,0.1220703125,12937.0,800.0,6.26719824,17.082785808147175,27.956054454263196,1.1970282472644,0.8782544205472501,17.38499428691903,30.61049011177988,1.9831534099922763,5.940867279894875
BkiUcBfxK6-gD0SrcKLl,arxiv,1.7977012395858765,-0.04296875,-0.4584147135416667,-0.3984375,-0.435546875,-0.08658854166666667,-34320.9774824,-33865.19517737,-23164.9586811,5.966796875,0.134765625,6820.0,427.0,6.02934786,23.005865102639298,24.146731048157605,0.574300071787509,0.44747547260110077,24.335509330692464,51.21951219512195,0.6034107050162352,6.127565982404692
BkiUbnnxK0zjCrsN-T0p,arxiv,1.9330188035964966,-0.1552734375,-0.4242146809895833,-0.4460042317708333,-0.3675130208333333,0.07926432291666667,-140827.39773973,-138589.10670347,-89169.36267905,4.7900390625,0.3095703125,17339.0,994.0,6.28132388,15.491089451525465,35.12055509613397,0.5664068202388252,0.8729672126361274,12.546494554677496,25.81656650117586,2.6397911059174874,5.92612030682277
