Model,date,#Params (B),S_avg,S_pc1,mtype,open_R2,lic,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,C_FLOPs
CausalLM/34b-beta,2024-06-26,34.389,23.29783304542188,25.856617458542416,finetuned,True,gpl-3.0,30.43247472262486,36.677226262739055,4.833836858006042,12.863534675615217,6.924739583333334,48.05518617021277,
Enno-Ai/EnnoAi-Pro-Llama-3-8B-v0.3,2024-06-26,8.03,18.128287498482543,17.283379563146287,finetuned,True,creativeml-openrail-m,50.82569803676467,16.668385554519382,4.833836858006042,2.0134228187919474,12.313281249999996,22.11510047281324,
MaziyarPanahi/Llama-3-8B-Instruct-v0.10,2024-06-26,8.03,26.79740338813341,24.885329924887586,finetuned,False,other,76.67433520835827,27.924674302120888,5.740181268882175,7.829977628635347,10.813020833333333,31.80223108747045,
MaziyarPanahi/Llama-3-70B-Instruct-v0.1,2024-06-26,70.554,26.33391343739024,26.361943533346757,chat,True,llama3,47.14380067110822,32.71291726367119,18.051359516616312,4.586129753914992,15.312760416666672,40.196513002364064,
Locutusque/Llama-3-Yggdrasil-2.0-8B,2024-06-26,8.03,20.46019749438689,18.366216766667897,merge,False,(缺失),53.70583385417359,26.922800957191782,8.308157099697885,1.6778523489932915,8.073697916666669,24.072842789598106,
Locutusque/Llama-3-NeuralHercules-5.0-8B,2024-06-26,8.03,16.042475909115613,14.934240155950565,chat,True,llama3,44.89310584803876,16.34207153663529,4.305135951661631,2.460850111856823,6.7757812500000005,21.47791075650118,
uukuguy/speechless-code-mistral-7b-v1.0,2024-06-26,7.0,18.19259169032542,19.505167002624656,finetuned,True,apache-2.0,36.652415590632856,24.091412067845624,5.211480362537765,4.586129753914992,14.772135416666666,23.841976950354614,
uukuguy/speechless-codellama-34b-v2.0,2024-06-26,34.0,17.209357596769955,15.985452502560065,finetuned,True,llama2,46.04216811393768,25.99329326784064,4.305135951661631,2.572706935123052,7.205208333333334,17.137632978723403,
uukuguy/speechless-coder-ds-6.7b,2024-06-26,6.7,9.714852002598894,9.9756382720729,finetuned,True,apache-2.0,25.04698644042252,15.897457343156352,2.114803625377644,1.9015659955257265,5.3421875000000005,7.986111111111111,
uukuguy/speechless-instruct-mistral-7b-v0.2,2024-06-26,7.242,18.10671348498029,20.714643627856866,finetuned,True,apache-2.0,32.613243970442866,24.558747365322688,4.909365558912387,4.250559284116329,21.172135416666663,21.1362293144208,
maldv/badger-writer-llama-3-8b,2024-06-26,8.03,21.09688762786649,19.22201660843262,finetuned,True,cc-by-nc-4.0,53.03140112678803,26.8783606145384,7.552870090634441,5.257270693512303,3.195052083333334,30.66637115839244,
johnsutor/Llama-3-8B-Instruct_breadcrumbs-density-0.5-gamma-0.1,2024-06-26,8.03,22.371145290205718,23.53915705955969,merge,True,apache-2.0,43.96390466185278,30.854731427683628,8.006042296072508,7.606263982102905,13.840625,29.955304373522463,
Naveenpoliasetty/llama3-8B-V2,2024-06-26,8.03,20.820686737632144,20.879474641401895,finetuned,False,(缺失),41.226168787705504,30.873209425039573,7.854984894259818,5.369127516778524,9.183593750000002,30.41703605200945,
johnsutor/Llama-3-8B-Instruct_breadcrumbs-density-0.7-gamma-0.01,2024-06-26,8.03,18.480197691407646,22.38804082925315,merge,True,apache-2.0,28.14443454478561,27.16443115792157,0.2265861027190332,5.369127516778524,24.472395833333337,25.5042109929078,
MaziyarPanahi/calme-2.4-llama3-70b,2024-06-26,70.554,32.48622524876468,33.44034145987392,chat,True,llama3,50.27371817887649,48.39776612820646,24.47129909365559,11.968680089485462,13.098958333333336,46.706929669030735,
johnsutor/Llama-3-8B-Instruct_breadcrumbs-density-0.5-gamma-0.01,2024-06-26,8.03,19.44753152983463,23.289993489497878,merge,True,apache-2.0,32.03621945327288,27.665794638508448,0.3776435045317221,6.935123042505594,23.621354166666677,26.049054373522463,
allknowingroger/limyClown-7B-slerp,2024-06-26,7.242,19.70388869479609,20.08305281701803,merge,True,apache-2.0,40.17451473202215,31.9314661071385,6.873111782477341,4.138702460850116,12.464062500000004,22.64147458628841,
allknowingroger/Meme-7B-slerp,2024-06-26,7.242,19.276080557709445,18.666634247267886,merge,True,apache-2.0,51.63754393897082,24.52948594942413,4.380664652567976,4.809843400447425,10.187760416666666,20.111184988179662,
allknowingroger/NeuralWestSeverus-7B-slerp,2024-06-26,7.242,20.675370567029702,21.048363680660206,merge,True,apache-2.0,41.35604640132626,33.41446681662389,7.326283987915408,2.796420581655479,15.409375000000002,23.749630614657207,
allknowingroger/Multimerge-19B-pass,2024-06-26,19.188,4.536203105914491,5.308670778045268,merge,False,(缺失),17.730510600761534,2.0803742908537424,0.0,1.230425055928408,4.303125,1.8727836879432624,
win10/llama3-13.45b-Instruct,2024-06-26,13.265,17.340222099927356,16.01463367826385,finetuned,True,llama3,41.44348107465968,26.67569043948038,2.416918429003021,1.1185682326621946,6.3283854166666655,26.0582890070922,
winglian/Llama-3-8b-64k-PoSE,2024-06-26,8.03,11.143207450567283,10.589692705696745,finetuned,False,(缺失),28.569085581811816,13.30731679540503,4.154078549848943,1.45413870246085,3.077343750000001,16.297281323877066,
winglian/llama-3-8b-256k-PoSE,2024-06-26,8.03,6.633243929125161,5.7490109604808275,finetuned,False,(缺失),29.091144829053576,5.502848923020156,1.9637462235649543,1.0067114093959737,0.9440104166666662,1.291001773049644,
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,2024-06-26,0.218,6.629850832257909,8.81619447959249,pretrained,True,apache-2.0,19.88124842085666,2.314902449149024,0.6797583081570997,1.230425055928408,14.261718750000002,1.4110520094562635,
allknowingroger/MixTaoTruthful-13B-slerp,2024-06-26,12.879,20.252975968080012,20.707099301676383,merge,True,apache-2.0,41.38851580473145,32.70636246605644,6.646525679758309,4.586129753914992,12.856249999999996,23.33407210401891,
allknowingroger/MultiCalm-7B-slerp,2024-06-26,7.242,19.472289426361296,20.092306922564447,merge,True,apache-2.0,39.26526061960044,31.46648332199455,6.193353474320242,4.36241610738255,12.960156250000004,22.586066784869978,
152334H/miqu-1-70b-sf,2024-06-26,68.977,29.097407726236643,31.381217590620984,finetuned,False,(缺失),51.81740005407873,43.807147003691966,12.462235649546828,13.422818791946312,17.209374999999998,35.865469858156025,
allknowingroger/MultiverseEx26-7B-slerp,2024-06-26,7.242,19.69589878762239,20.205793017981282,merge,True,apache-2.0,39.38516469633905,31.66377531246577,7.552870090634441,4.36241610738255,12.597395833333335,22.6137706855792,
allknowingroger/MultiMash11-13B-slerp,2024-06-26,12.879,20.614675908435512,21.0967377983917,merge,True,apache-2.0,42.51009543566625,32.59670310684399,7.02416918429003,4.36241610738255,14.026822916666664,23.167848699763592,
allknowingroger/MultiMash-12B-slerp,2024-06-26,12.879,20.179903850442244,20.78872679024124,merge,True,apache-2.0,39.74487692655487,31.92567710646836,8.08157099697885,3.5794183445190177,14.773958333333333,22.973921394799056,
allknowingroger/MultiMerge-7B-slerp,2024-06-26,7.242,19.542246727772383,20.025057309890997,merge,True,apache-2.0,39.47758613811354,31.803983321994554,6.646525679758309,4.36241610738255,12.330729166666671,22.63223995271868,
allknowingroger/MultiMash9-13B-slerp,2024-06-26,12.879,20.642969652890788,21.096778960291253,merge,True,apache-2.0,41.87810564856802,32.55261171624742,7.854984894259818,4.026845637583895,14.211197916666665,23.33407210401891,
johnsutor/Llama-3-8B-Instruct_breadcrumbs-density-0.3-gamma-0.1,2024-06-26,8.03,21.833220529017808,22.76784522716305,merge,True,apache-2.0,42.73993005226133,30.51494334374904,8.08157099697885,7.829977628635347,11.397395833333336,30.43550531914893,
allknowingroger/MultiMash6-12B-slerp,2024-06-26,12.879,20.27642710504546,20.175368170164052,merge,True,apache-2.0,43.0046720479439,32.403879619181005,7.250755287009064,3.243847874720355,12.522916666666667,23.23249113475177,
allknowingroger/MultiMash5-12B-slerp,2024-06-26,12.879,19.590305453838365,19.640421139948337,merge,False,(缺失),41.41599843969557,31.85636425596493,6.3444108761329305,3.691275167785232,11.703124999999998,22.530658983451534,
allknowingroger/MultiMash2-12B-slerp,2024-06-26,12.879,19.84014306475432,19.862653555905503,merge,True,apache-2.0,42.60750364588182,31.617950213580304,6.419939577039275,3.9149888143176734,11.783593750000003,22.696882387706854,
allknowingroger/MultiMash10-13B-slerp,2024-06-26,12.879,20.4264364824254,20.926222681922862,merge,True,apache-2.0,41.62832395820867,32.45250184104656,7.175226586102719,4.809843400447425,12.97395833333333,23.51876477541371,
allknowingroger/MultiMash7-12B-slerp,2024-06-26,12.879,19.79229351182464,19.854405266489053,merge,True,apache-2.0,42.12788733892738,31.298150090327656,6.948640483383686,3.803131991051453,12.026822916666667,22.549128250591018,
BAAI/Infinity-Instruct-3M-0613-Mistral-7B,2024-06-27,7.242,22.29353000800769,22.234418082808627,finetuned,True,apache-2.0,53.19873491225504,28.992936470320583,8.157099697885197,6.152125279642054,13.252083333333331,24.00820035460993,
gbueno86/Meta-LLama-3-Cat-Smaug-LLama-70b,2024-06-27,70.554,38.69613307300818,36.78465926257108,merge,True,llama3,80.71849359698932,51.50838639894525,29.38066465256798,10.290827740492167,15.002864583333327,45.27556146572104,
Changgil/K2S3-14b-v0.2,2024-06-27,14.352,15.275784761251336,15.519908641206122,finetuned,True,cc-by-nc-4.0,32.428401086893885,24.283946726650168,5.740181268882175,4.138702460850116,6.7992187500000005,18.26425827423168,
openchat/openchat-3.5-0106,2024-06-27,7.242,22.70925524673515,22.349935853466405,finetuned,True,apache-2.0,59.66590867786363,24.03871121391158,7.628398791540786,7.718120805369126,11.746354166666668,25.458037825059098,
sci-m-wang/Mistral-7B-Instruct-sa-v0.1,2024-06-27,14.483,12.263004871086814,11.169151957560631,chat,False,other,43.35186194851882,5.743646077429951,1.4350453172205435,1.230425055928408,6.683333333333335,15.133717494089836,
sci-m-wang/Phi-3-mini-4k-instruct-sa-v0.1,2024-06-27,7.642,25.82414451642259,26.28049101572727,chat,False,other,50.20623057930735,36.605419148768114,14.803625377643504,10.514541387024613,9.64609375,33.16895685579196,
sci-m-wang/deepseek-llm-7b-chat-sa-v0.1,2024-06-27,7.0,13.208049800984782,12.680960270481355,chat,False,other,40.35935761557113,12.05197465522808,2.643504531722054,0.8948545861297527,9.864062499999998,13.434544917257682,
Eric111/CatunaMayo-DPO,2024-06-27,7.242,21.292884967568227,22.192057977271386,finetuned,True,apache-2.0,42.14539643700936,33.08995159999345,8.157099697885197,5.592841163310966,14.662239583333337,24.109781323877066,
4season/final_model_test_v2,2024-06-27,21.421,23.086235043644056,25.522707740445906,finetuned,True,apache-2.0,31.911328608093196,47.410670136906425,8.38368580060423,10.290827740492167,12.430989583333334,28.08990839243498,
TIGER-Lab/MAmmoTH2-7B-Plus,2024-06-27,7.242,21.633507778259585,20.126375034912655,finetuned,True,mit,55.74664113441224,18.92595322755573,18.580060422960727,4.026845637583895,10.1109375,22.410608747044915,
FallenMerick/Chewy-Lemon-Cookie-11B,2024-06-27,10.732,22.043725653783596,22.23439272013999,merge,True,cc-by-4.0,48.75242135312082,33.01430008846961,5.438066465256798,3.9149888143176734,15.952343750000002,25.19023345153664,
spmurrayzzz/Mistral-Syndicate-7B,2024-06-27,7.242,14.012817664482595,15.929716356278298,finetuned,True,apache-2.0,24.9595517670891,20.50625197041595,3.3987915407854987,3.467561521252797,13.619010416666669,18.125738770685576,
Gryphe/Pantheon-RP-1.0-8b-Llama-3,2024-06-27,8.03,16.87312240356046,16.138213529654415,finetuned,True,apache-2.0,39.32521265796974,23.631914688111305,6.3444108761329305,3.467561521252797,5.504947916666667,22.96468676122932,
allenai/OLMo-7B-Instruct-hf,2024-06-27,7.0,10.84897342143646,10.422249408947659,chat,True,apache-2.0,34.72652561869174,13.159933415267032,1.3595166163141994,2.796420581655479,4.3265625,8.724881796690305,
argilla/notus-7b-v1,2024-06-27,7.242,18.47426177294325,17.520910664804003,chat,True,mit,50.820711268323606,22.74711196116141,3.1722054380664653,5.257270693512303,6.58541666666667,22.26285460992908,
allenai/OLMo-7B-hf,2024-06-27,6.888,6.864268027495356,6.870106899406025,pretrained,True,apache-2.0,27.19273749207658,5.761987041080832,1.2084592145015105,3.0201342281879207,2.0833333333333326,1.9189568557919612,
meraGPT/mera-mix-4x7B,2024-06-27,24.154,17.854958732939675,18.083819401277104,merge,True,apache-2.0,48.317796779212486,17.48643895465503,5.362537764350453,7.270693512304249,9.273697916666668,19.418587470449168,
collaiborateorg/Collaiborator-MEDLLM-Llama-3-8B-v2,2024-06-27,8.03,17.93904722141172,18.683174145077018,finetuned,False,(缺失),38.08871571873739,23.64850317610825,5.664652567975831,11.0738255033557,1.5950520833333328,27.56353427895981,
ZeusLabs/L3-Aethora-15B-V2,2024-06-27,15.01,24.69871364353165,21.622877154073652,finetuned,True,cc-by-sa-4.0,72.08063493752132,28.968504695312703,8.08157099697885,5.033557046979867,6.252083333333335,27.77593085106383,
maldv/badger-mu-llama-3-8b,2024-06-27,8.03,20.322170525640896,18.13014531025897,merge,True,cc-by-nc-4.0,49.194581488229005,30.51396514214568,5.589123867069486,1.230425055928408,5.69895833333333,29.70596926713948,
cloudyu/Llama-3-70Bx2-MOE,2024-06-27,126.926,35.66646489034437,39.413686687243235,finetuned,True,llama3,54.82486469234964,51.42213772529595,21.75226586102719,19.12751677852349,20.8484375,46.02356678486997,
langgptai/qwen1.5-7b-chat-sa-v0.1,2024-06-27,15.443,16.580170752646193,16.566271357519124,chat,False,other,42.67742922113326,20.302342129934097,3.0211480362537766,8.277404921700223,3.0598958333333326,22.14280437352246,
dreamgen/WizardLM-2-7B,2024-06-27,7.242,14.877542593987686,14.579940481218106,finetuned,True,apache-2.0,45.82984259542458,9.213113542615597,3.3232628398791544,4.921700223713646,7.528385416666667,18.44895094562648,
langgptai/Qwen-las-v0.1,2024-06-27,7.901,11.633178497007412,10.416848816288146,chat,False,other,33.01041237250495,14.698639898107368,3.700906344410876,0.0,3.66171875,14.727393617021276,
kno10/ende-chat-0.0.5,2024-06-27,7.891,10.850085123772722,10.731378348702108,finetuned,True,apache-2.0,34.04455733010634,11.125830654491324,2.0392749244712998,2.0134228187919474,7.097135416666668,8.780289598108746,
instruction-pretrain/InstructLM-500M,2024-06-27,0.5,2.8543503197666724,3.799567768232631,pretrained,True,apache-2.0,10.27662158627996,2.317053716048478,0.0,0.8948545861297527,2.0695312500000003,1.5680407801418434,
ibivibiv/colossus_120b,2024-06-27,117.749,25.415203305397444,27.518860491426803,finetuned,True,apache-2.0,42.759877126025614,44.07149752747837,5.664652567975831,7.829977628635347,19.2640625,32.901152482269495,
DeepMount00/Llama-3-8b-Ita,2024-06-27,8.03,26.7968164089867,24.995611596819455,finetuned,True,llama3,75.3029738870641,28.077745566893725,6.646525679758309,7.38255033557047,11.6796875,31.691415484633573,
cognitivecomputations/dolphin-2.9.1-llama-3-70b,2024-06-27,70.554,25.53438611403665,28.597016488540334,chat,True,llama3,37.60167466765959,31.101151872569243,18.202416918429005,7.829977628635347,23.6953125,34.77578309692671,
maldv/badger-kappa-llama-3-8b,2024-06-27,8.03,21.166688498001093,20.380292508921187,merge,True,llama3,46.94643545791833,30.153238604373765,8.610271903323262,7.046979865771815,4.297135416666666,29.94606973995272,
altomek/YiSM-34B-0rn,2024-06-27,34.389,30.51201240834246,33.56634531593778,merge,True,apache-2.0,42.83733826247689,45.38292724900714,22.80966767371601,16.21923937360179,14.758333333333333,41.06456855791962,
PJMixers/LLaMa-3-CursedStock-v2.0-8B,2024-06-27,8.03,24.166133893343385,21.562205922027623,merge,True,llama3,63.30791189599152,32.56361170891586,9.441087613293051,3.243847874720355,8.036458333333336,28.40388593380615,
AbacusResearch/Jallabi-34B,2024-06-27,34.389,26.18608192071653,30.14249017443474,merge,True,apache-2.0,35.28604103777975,43.61576498719506,5.211480362537765,11.85682326621924,20.23880208333333,40.90757978723404,
AI-Sweden-Models/Llama-3-8B-instruct,2024-06-27,8.03,14.343669671742774,17.02777027925153,finetuned,True,llama3,24.012841482821138,18.388095615027524,3.8519637462235647,2.1252796420581683,19.93671875,17.747118794326237,
Changgil/K2S3-v0.1,2024-06-27,14.352,14.839283995827836,14.667156105632493,finetuned,True,cc-by-nc-4.0,32.76561745058666,24.559557672503782,4.607250755287009,1.9015659955257265,7.842447916666667,17.359264184397162,
mistralai/Mistral-7B-Instruct-v0.1,2024-06-27,7.242,12.771229395030618,11.088580933095278,chat,True,apache-2.0,44.87060998151571,7.647020535827543,2.2658610271903323,0.0,6.12838541666667,15.715499408983453,
mlabonne/NeuralBeagle14-7B,2024-06-27,7.242,18.91007634574491,18.771011131305983,chat,True,cc-by-nc-4.0,49.35194173681387,23.959695145493203,5.211480362537765,4.250559284116329,12.893489583333336,17.793291962174944,
google/flan-t5-small,2024-06-27,0.077,6.129661810537869,8.077789445979507,pretrained,True,apache-2.0,15.24255641697363,6.36311196167965,0.7552870090634441,1.45413870246085,10.36979166666667,2.5930851063829774,
zhengr/MixTAO-7Bx2-MoE-v8.1,2024-06-27,12.879,17.067606418207944,17.432433851154613,finetuned,True,apache-2.0,41.87810564856802,19.17690717348315,6.042296072507553,6.487695749440718,8.303124999999996,20.517508865248228,
SanjiWatsuki/Kunoichi-DPO-v2-7B,2024-06-28,7.242,20.5816311223652,20.19627557285414,finetuned,True,cc-by-nc-4.0,54.31034100630771,20.903472484123803,7.628398791540786,6.152125279642054,11.087500000000004,23.407949172576835,
lmsys/vicuna-13b-v1.3,2024-06-28,13.0,10.435533675653645,10.026396358384805,finetuned,False,(缺失),33.43506340953115,7.48978931162921,1.4350453172205435,2.348993288590602,4.091145833333333,13.813164893617024,
BAAI/Infinity-Instruct-3M-0613-Llama3-70B,2024-06-28,70.554,35.578242909223654,36.28062330764284,finetuned,True,apache-2.0,68.21134589555712,51.32716098252212,21.52567975830816,14.429530201342288,16.53255208333333,41.44318853427896,
alpindale/WizardLM-2-8x22B,2024-06-28,140.621,33.059051837739325,35.49801965234133,finetuned,True,apache-2.0,52.72166739805937,48.57616817936264,25.0,17.561521252796418,14.538541666666667,39.95641252955083,
lmsys/vicuna-7b-v1.3,2024-06-28,7.0,8.525809191714858,8.037868589276375,finetuned,False,(缺失),29.086158060612505,6.461378796018201,1.283987915407855,0.0,5.016666666666668,9.306663711583925,
ibivibiv/multimaster-7b-v6,2024-06-28,35.428,21.089768673380156,22.05709145318585,finetuned,True,apache-2.0,44.73075883101282,32.40128043389345,5.589123867069486,7.158836689038028,13.379947916666673,23.278664302600472,
rhysjones/phi-2-orange-v2,2024-06-28,2.78,15.324185096371076,14.594247104910528,finetuned,True,mit,36.69740732367895,25.60654883732465,4.078549848942599,1.5659955257270708,6.969791666666668,17.026817375886523,
automerger/YamshadowExperiment28-7B,2024-06-29,7.242,19.884270029585775,20.482406888348784,merge,True,apache-2.0,40.701560747704974,31.980235156677427,6.117824773413897,4.921700223713646,12.693489583333337,22.89080969267139,
saltlux/luxia-21.4b-alignment-v1.0,2024-06-29,21.421,23.45457393678268,24.52703963436886,chat,True,apache-2.0,36.92967991595633,48.02111296160791,9.743202416918429,6.823266219239373,12.50546875,26.70471335697399,
lightblue/suzume-llama-3-8B-multilingual-orpo-borda-top75,2024-06-29,8.03,23.647119777794057,20.342719644708936,chat,True,cc-by-nc-4.0,66.87245397766813,28.05625593898892,7.854984894259818,3.0201342281879207,5.3109375000000005,30.76795212765957,
lightblue/suzume-llama-3-8B-multilingual-orpo-borda-top25,2024-06-29,8.03,23.684768112420983,20.274408229633572,chat,True,cc-by-nc-4.0,66.36535503574959,27.665285015300118,10.42296072507553,3.0201342281879207,4.808854166666668,29.82601950354609,
lightblue/suzume-llama-3-8B-multilingual-orpo-borda-half,2024-06-29,8.03,21.50979670721306,17.251409310283364,chat,True,cc-by-nc-4.0,62.49107922534431,26.34859792572119,9.06344410876133,0.0,2.114583333333334,29.0410756501182,
Danielbrdz/Barcenas-Llama3-8b-ORPO,2024-06-29,8.03,26.51900505359198,24.822070091375352,chat,False,other,73.7242738156979,28.600623499981847,6.570996978851963,7.606263982102905,11.169791666666669,31.44208037825059,
MTSAIR/MultiVerse_70B,2024-06-29,72.289,32.24436452801163,34.61959934223053,chat,False,other,52.49183278146429,46.135898982415,19.259818731117825,13.870246085011187,18.815364583333327,42.89302600472813,
grimjim/Llama-3-Instruct-8B-SPPO-Iter3-SimPO-merge,2024-06-29,8.03,20.83668391168813,20.8029536238746,merge,True,llama3,42.71244741729721,28.258014912987704,9.969788519637463,5.369127516778524,9.540364583333334,29.17036052009456,
tensoropera/Fox-1-1.6B,2024-06-29,1.665,7.764365648440015,7.660688415501497,pretrained,True,apache-2.0,27.659831469390102,7.399760932518088,1.7371601208459215,1.789709172259505,3.873697916666666,4.12603427895981,
Kukedlc/NeuralSynthesis-7B-v0.1,2024-06-29,7.242,20.015676781413077,20.38360264302201,merge,True,apache-2.0,41.84563624516284,31.83439540006779,6.3444108761329305,4.138702460850116,13.160156250000004,22.770759456264773,
fblgit/UNA-ThePitbull-21.4B-v2,2024-06-30,21.421,23.0265687976468,23.00469717744192,finetuned,False,afl-3.0,37.90387283518841,46.78807384004312,12.16012084592145,6.935123042505594,6.420833333333333,27.95138888888889,
fblgit/juanako-7b-UNA,2024-06-30,7.242,20.86306801598857,21.965528577598146,finetuned,True,apache-2.0,48.37276204914072,30.415072015961297,3.3987915407854987,6.152125279642054,17.162499999999994,19.67715721040189,
jebcarter/psyonic-cetacean-20B,2024-06-30,19.994,16.012258737866414,18.282164549370613,merge,False,other,25.43661928128477,27.843060379681305,1.812688821752266,3.1319910514541416,16.897656249999997,20.951536643026003,
RESMPDEV/Qwen2-Wukong-0.5B,2024-06-30,0.63,4.975539710746782,5.165556925638555,finetuned,True,apache-2.0,18.54235650296768,4.19666315993673,0.1510574018126888,0.0,3.3265625,3.6365986997635926,
Sao10K/L3-8B-Stheno-v3.2,2024-06-30,8.03,25.884393588195135,23.838934960220133,finetuned,True,cc-by-nc-4.0,68.72841837435782,32.02159792407502,9.290030211480364,8.05369127516779,6.453906249999996,30.758717494089836,
fblgit/UNA-TheBeagle-7b-v1,2024-06-30,7.242,19.64617077795868,21.005907103093413,finetuned,False,cc-by-nc-nd-4.0,36.887236975669,30.173396964633465,7.7039274924471295,4.586129753914992,16.088020833333328,22.43831264775413,
fblgit/UNA-SimpleSmaug-34b-v1beta,2024-06-30,34.389,24.2920916316972,25.36268524596423,finetuned,True,apache-2.0,45.56255180698325,32.775788922324494,7.175226586102719,8.948545861297541,11.961979166666667,39.328457446808514,
fblgit/una-cybertron-7b-v2-bf16,2024-06-30,7.242,17.217324719799368,18.208252442892398,finetuned,True,apache-2.0,47.37108649494452,14.966964848379982,4.078549848942599,6.375838926174497,14.482031250000004,16.02947695035461,
Enno-Ai/EnnoAi-Pro-French-Llama-3-8B-v0.4,2024-06-30,8.031,15.68446940398294,15.578946479024946,chat,True,creativeml-openrail-m,41.88807918545016,16.875928374989595,3.625377643504532,2.796420581655479,10.758333333333336,18.162677304964536,
Gemma (7B),2024-07-01,7.0,8.0,8.0,pretrained,True,historical,15.4,0.0,0.0,0.0,0.0,0.0,3.07e+23
Gemma (2B),2024-07-01,2.0,3.0,3.0,pretrained,True,historical,10.4,0.0,0.0,0.0,0.0,0.0,4.5115822e+22
Sao10K/L3-70B-Euryale-v2.1,2024-07-01,70.554,35.43613152375533,34.06445039882906,finetuned,True,cc-by-nc-4.0,73.84417789243652,48.70118672944805,21.37462235649547,10.850111856823268,12.247916666666669,45.598773640661946,
invisietch/EtherealRainbow-v0.2-8B,2024-07-01,8.03,20.106576639387253,20.362899940968955,merge,True,llama3,39.03298802732306,30.28379136654109,8.23262839879154,7.046979865771815,6.56796875,29.47510342789598,
OmnicromsBrain/NeuralStar_FusionWriter_4x7b,2024-07-01,24.154,20.071645037035577,18.171829640673554,merge,True,apache-2.0,59.63842604289951,26.038439832659787,4.909365558912387,3.803131991051453,8.201041666666667,17.83946513002364,
invisietch/EtherealRainbow-v0.3-8B,2024-07-01,8.03,19.791231655800487,20.506434860970398,merge,True,llama3,36.82229816885863,30.080258475101616,7.628398791540786,7.270693512304249,7.766145833333333,29.179595153664305,
skymizer/Llama2-7b-sft-chat-custom-template-dpo,2024-07-01,6.738,10.140548181946365,11.53142777715703,finetuned,True,llama2,23.528238407425636,11.238865074478818,1.4350453172205435,0.0,14.124739583333332,10.51640070921986,
Sao10K/Fimbulvetr-11B-v2,2024-07-01,10.732,21.089256463822466,21.456422605017874,finetuned,True,cc-by-nc-4.0,51.00056738343152,22.65512081005865,6.797583081570997,5.592841163310966,14.920572916666666,25.56885342789598,
UCLA-AGI/Llama-3-Instruct-8B-SPPO-Iter3,2024-07-02,8.03,23.69339630817469,19.57191630381787,finetuned,True,apache-2.0,68.34122350917787,29.73968358044069,9.59214501510574,2.0134228187919474,3.0911458333333326,29.38275709219858,
ZhangShenao/SELM-Llama-3-8B-Instruct-iter-3,2024-07-02,8.03,24.042937650204056,20.054252935881554,finetuned,True,mit,69.02817856620433,29.07853088402274,8.610271903323262,1.1185682326621946,5.497135416666667,30.92494089834515,
microsoft/Phi-3-mini-4k-instruct,2024-07-02,3.821,27.56217404359228,28.271542703684997,chat,True,mit,54.76746144673909,36.55985530518785,16.389728096676738,10.96196868008949,13.118749999999997,33.57528073286053,
abacusai/Llama-3-Smaug-8B,2024-07-02,8.03,19.06776237652968,16.446842339771003,finetuned,True,llama2,48.66753547254618,27.880374189415942,8.534743202416918,0.0,5.047916666666663,24.27600472813239,
Casual-Autopsy/L3-Umbral-Mind-RP-v2.0-8B,2024-07-02,8.03,25.899338809216697,22.623140804228836,merge,True,llama3,71.22634609502786,32.48627762381486,10.95166163141994,4.921700223713646,5.550000000000002,30.26004728132387,
mlabonne/Daredevil-8B-abliterated,2024-07-02,8.03,19.687995572747763,19.58592310999809,finetuned,False,other,44.2636648536993,19.865777111108127,9.441087613293051,5.369127516778524,9.17760416666667,30.010712174940902,
mlabonne/Daredevil-8B,2024-07-02,8.03,22.40964638898709,22.369862056673426,finetuned,False,other,45.4776659264086,31.62685476252992,10.649546827794564,7.718120805369126,7.534375000000003,31.451315011820324,
Salesforce/LLaMA-3-8B-SFR-Iterative-DPO-R,2024-07-02,8.03,18.527751291550988,18.15839537665883,finetuned,True,llama3,38.15620331830654,29.15028934976556,9.138972809667674,5.033557046979867,5.550000000000002,24.137485224586285,
Nitral-AI/Hathor_Stable-v0.2-L3-8B,2024-07-02,8.03,25.917956738512263,22.608056467407142,finetuned,False,other,71.74840534226962,32.826028565585965,10.498489425981871,4.921700223713646,5.557812500000004,29.955304373522463,
laislemke/LLaMA-2-vicuna-7b-slerp,2024-07-03,6.738,7.694402356108033,8.2560909036202,merge,True,llama2,29.320979445648653,2.598263938597983,1.1329305135951662,3.1319910514541416,6.179427083333336,3.802822104018913,
Yash21/TinyYi-7B-Test,2024-07-03,6.061,4.495167294967694,5.196754347606891,pretrained,True,apache-2.0,18.56485236949073,2.267966388832264,0.0,1.9015659955257265,3.22265625,1.0139627659574466,
failspy/Llama-3-8B-Instruct-abliterated,2024-07-03,8.03,19.190256107675243,17.743728859499647,finetuned,True,llama3,59.08888416069362,18.86459884908717,3.8519637462235647,3.467561521252797,10.514583333333334,19.35394503546099,
failspy/llama-3-70B-Instruct-abliterated,2024-07-03,70.554,35.89001866123902,32.148209912685694,finetuned,True,llama3,80.23389052159382,48.93981832466943,24.3202416918429,5.257270693512303,10.528385416666673,46.06050531914893,
invisietch/Nimbus-Miqu-v0.1-70B,2024-07-03,68.977,24.80805215493564,26.042910021545662,merge,False,unknown,46.466819150963886,43.4509951550532,6.042296072507553,11.85682326621924,9.330729166666666,31.700650118203303,
