Model,date,#Params (B),S_avg,S_pc1,mtype,open_R2,lic,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,C_FLOPs
allknowingroger/HomerSlerp3-7B,2024-11-22,7.616,28.953652934928694,29.86596415713189,merge,True,apache-2.0,43.62668829815999,37.29001802552013,30.211480362537763,8.948545861297541,14.372135416666673,39.27304964539008,
allenai/Llama-3.1-Tulu-3-8B-RM,2024-11-22,8.0,4.235057018188027,4.991387590642553,chat,True,llama3.1,16.701352411601217,2.6496699813735507,0.0,0.8948545861297527,4.252083333333335,0.912381796690307,
icefog72/Ice0.41-22.11-RP,2024-11-22,7.242,19.03517499742875,19.9791192136119,merge,True,cc-by-nc-4.0,46.20451513096362,25.412777425832047,3.096676737160121,4.921700223713646,16.597395833333334,17.977984633569736,
DreadPoor/Dearly_Beloved-8B-TIES,2024-11-22,8.03,26.286760418026628,23.17723431263839,merge,False,(缺失),82.66687943545348,16.671812993247975,21.148036253776432,6.487695749440718,10.450260416666666,20.295877659574465,
allknowingroger/QwenSlerp12-7B,2024-11-22,7.616,29.989027415795302,30.563505471573784,merge,True,apache-2.0,50.75577246151323,36.41130337400265,29.45619335347432,8.7248322147651,16.134895833333335,38.45116725768321,
BSC-LT/salamandra-7b-instruct,2024-11-22,7.768,10.181243697003833,11.328785767295068,pretrained,True,apache-2.0,24.507418095098785,14.688128545731288,0.8308157099697886,1.9015659955257265,10.213020833333337,8.946513002364064,
allknowingroger/GemmaSlerp4-10B,2024-11-22,10.159,34.06301244708342,34.07596278332925,merge,True,apache-2.0,73.26216660682545,43.328658430206815,22.432024169184288,13.758389261744966,15.482031250000004,36.114804964539005,
TheHierophant/Underground-Cognitive-V0.3-test,2024-11-22,10.732,22.4060912466085,23.079525696048243,merge,False,(缺失),48.08297539417634,33.665101982714994,5.8912386706948645,6.487695749440718,14.55598958333333,25.75354609929078,
vhab10/Llama-3.2-Instruct-3B-TIES,2024-11-23,1.848,17.33432617767801,15.391871408364366,merge,True,mit,47.27367828472896,19.183159360187968,9.818731117824774,2.572706935123044,3.873697916666666,21.28398345153665,
arisin/orca-platypus-13B-slerp,2024-11-23,13.016,14.79190764445101,17.070997340088574,merge,True,apache-2.0,26.71810795356321,24.40376595176109,1.5861027190332326,6.487695749440718,11.864062500000005,17.691710992907797,
