model_dir,n_tasks,mean_all,ifeval,bbh,math,gpqa,musr,mmlu_pro
DoppelReflEx_MN-12B-Mimicore-WhiteSnake-v2-Experiment-1,44,36.79166475938753,40.30688572986343,48.647997407060934,1.5272901215668404,30.70295633477261,37.879546957671955,31.141954787234045
DoppelReflEx_MN-12B-Mimicore-WhiteSnake-v2-Experiment-2,44,39.530608428010176,44.184929320868626,51.83642397145049,3.9374619292201,31.76735323075508,40.001616236772485,33.41921542553192
DoppelReflEx_MN-12B-Mimicore-WhiteSnake-v2-Experiment-3,44,36.65282568643214,44.55716388072536,48.10196498743628,2.5774742534111263,30.445929559813788,36.82437169312169,31.981382978723406
DoppelReflEx_MN-12B-Mimicore-WhiteSnake-v2-Experiment-4,44,39.530608428010176,44.184929320868626,51.83642397145049,3.9374619292201,31.76735323075508,40.001616236772485,33.41921542553192
DoppelReflEx_MN-12B-Unleashed-Twilight,44,42.8172067786094,40.88640363125396,55.196944564426445,8.659295925445143,32.833366356331965,43.8254546957672,36.77692819148936
DoppelReflEx_MN-12B-WolFrame,44,39.71309737813159,45.88979463379389,51.15577263942556,6.871810528557656,31.606403069804912,40.12999751984127,33.9345079787234
DoppelReflEx_MiniusLight-24B,44,47.828202855657835,27.056598713635378,62.55673186056821,11.454355793147746,35.461149355864116,43.174173280423275,50.91422872340425
DoppelReflEx_MiniusLight-24B-test,44,45.99741698917767,4.0129633816052515,63.33373563194284,2.1434829785037497,36.74512824051415,40.91200396825397,51.82014627659575
DoppelReflEx_MiniusLight-24B-v1b-test,44,52.66050401546523,40.19202383010413,66.16094639496701,22.002557874203813,37.84407968290099,45.55534887566137,53.64860372340425
DoppelReflEx_MiniusLight-24B-v1c-test,44,54.85350236194403,41.14615885849546,67.52041497382791,28.09900930147724,39.6050526188949,46.33032407407408,54.87034574468085
DoppelReflEx_MiniusLight-24B-v1d-test,44,54.594880868330634,43.826436078493956,67.1127560891577,27.540949913793966,39.9673639187062,46.19725529100529,54.88696808510638
DreadPoor_Again-8B-Model_Stock,44,41.9369862780178,69.77004348462081,53.09316672493096,10.352054121335941,30.640279277024245,39.854484953703704,35.1811835106383
DreadPoor_Alita99-8B-LINEAR,44,44.07389420176889,73.7405085174005,54.41142063550569,14.905394257829405,31.922100084851767,42.64658564814815,38.09009308510639
DreadPoor_AnotherTest,44,36.633157518853366,51.02306324995456,46.822925727400445,3.802966604210995,29.780556586869505,42.11196676587301,28.748337765957448
DreadPoor_Aspire-8B-model_stock,44,42.47719464885615,72.95741964653786,52.77571347260046,12.014889274704219,31.53713741748557,42.10962301587301,37.63297872340425
DreadPoor_Aspire_1.3-8B_model-stock,44,43.08639359400656,71.95574409234166,53.01139315281213,15.396023247142201,31.445838196572257,41.03569775132275,37.1592420212766
DreadPoor_Aspire_V2-8B-Model_Stock,44,43.27941096637426,75.96743307756752,53.292743618449755,15.44675469889717,32.80921312328611,38.92534722222222,36.96808510638298
DreadPoor_Aspire_V2.1-8B-Model_Stock,44,42.97747379532313,74.4899089970168,52.35931472917946,16.35358781701525,31.36832930771689,41.336991567460316,38.00698138297872
DreadPoor_Aspire_V2_ALT-8B-Model_Stock,44,43.025778978394555,75.5914861456491,52.653585447449245,15.486306557010538,33.233854605498905,39.733134920634924,37.26728723404255
DreadPoor_Aspire_V2_ALT_ROW-8B-Model_Stock,44,43.027510495214365,75.667672885721,52.653585447449245,15.486306557010538,33.233854605498905,39.733134920634924,37.26728723404255
DreadPoor_Aspire_V3-8B-Model_Stock,44,42.511433785143474,52.115941258084106,52.67759415729927,16.49692118657182,31.135032938724216,40.13234126984127,36.419547872340424
DreadPoor_Aspire_V4-8B-Model_Stock,44,43.37731123551728,78.78384907600721,53.13799924337326,17.42660940167855,30.514962700889715,38.66155340608465,37.0844414893617
DreadPoor_Aspire_V4_ALT-8B-Model_Stock,44,43.084309772194814,75.16434172440236,52.68022225303083,16.439815697739224,32.5778039075019,39.19148478835979,36.81848404255319
DreadPoor_Asymmetric_Linearity-8B-Model_Stock,44,44.143726513965184,73.72178043147737,54.64691522365771,14.968412002906955,31.658023475871634,41.978897982804234,38.43916223404255
DreadPoor_Aurora_faustus-8B-LINEAR,44,44.38458980527303,74.225111592796,55.1487856043365,15.6081408548888,30.252426369771168,41.4442791005291,38.42253989361702
DreadPoor_Aurora_faustus-8B-LORABLATED,44,43.31572716958559,76.47325762310669,53.91242161935562,13.644508048297277,29.29855263118686,42.37107308201058,36.727061170212764
DreadPoor_Aurora_faustus-8B-LORABLATED_ALT,44,43.401663247236314,75.3629259254334,53.87265437214248,14.465556355421882,29.23287096944815,42.2380042989418,36.94315159574468
DreadPoor_Autumn_Dawn-8B-LINEAR,44,44.310577696453514,74.54359987056564,54.58591158222076,17.060805127862483,29.416358133849744,41.84114169973545,39.67752659574468
DreadPoor_BaeZel-8B-LINEAR,44,44.564469170576366,75.37666724291546,54.63266237408031,16.470699878043444,32.60450050508775,42.2520667989418,38.61369680851064
DreadPoor_BaeZel-8B-Model_Stock,44,43.907629891728334,78.69890778689432,54.069608998104,14.796733683995566,31.79262391458281,41.97655423280423,38.80485372340425
DreadPoor_BaeZel_V2-8B-Model_Stock,44,43.77333182483653,78.69890778689434,53.72976807265798,16.052737413286405,30.023907393873838,41.843485449735454,39.469747340425535
