C,L_ctx,g_form,N,D,Q,L,tokens_per_param,C_train,C_quality,C_attn,share_train,share_quality,share_attn,Q_at_lower,Q_at_upper,D_at_wall,p,regime,cost_form,N_noQ,D_noQ,L_noQ,gain_vs_noQ,tpp_noQ,check_L,check_absdiff_L,check_reldiff_N
1e+19,32768,filter,223086316.716669,2492955636.6649146,0.8836983864848149,3.0407731530220383,11.174847804901882,3.3368657443298063e+18,3.0183870319968916e+18,3.6447472236733025e+18,0.3336865744329806,0.30183870319968914,0.36447472236733025,False,False,False,p_ref,R1 质量内点(Q0<Q*<1),改进型(过滤产出率) γ_f/(1-Q),163283588.91975814,4878532202.89884,3.141293070212038,0.10051991718999975,29.877663978198562,3.0407731530220072,3.108624468950438e-14,9.071694584417145e-08
1e+19,131072,filter,138013950.4040147,1625175873.3827188,0.9077512948313985,3.166083757473906,11.775446385131831,1.345781654321063e+18,2.77440857917326e+18,5.87980976650568e+18,0.1345781654321063,0.277440857917326,0.587980976650568,False,False,False,p*,R1 质量内点(Q0<Q*<1),改进型(过滤产出率) γ_f/(1-Q),106680391.84303415,2909814816.0051336,3.320140992664835,0.1540572351909293,27.276004200345785,,,
1e+19,131072,filter,138013932.63168815,1625176072.120945,0.9077512879157208,3.2102543643327355,11.775449341465999,1.3457816455939901e+18,2.774408626029496e+18,5.879809728376516e+18,0.13457816455939903,0.2774408626029496,0.5879809728376516,False,False,False,p_ref,R1 质量内点(Q0<Q*<1),改进型(过滤产出率) γ_f/(1-Q),106680375.25438647,2909815268.477228,3.367271853435075,0.1570174891023397,27.276012683106707,,,
1e+19,30000,filter,228215876.8456064,2545901784.2820396,0.8823714349313477,2.992530154575026,11.155673389035963,3.4860912483763174e+18,3.0278175032473656e+18,3.4860912483763174e+18,0.34860912483763173,0.3027817503247366,0.34860912483763173,False,False,False,p*,R1 质量内点(Q0<Q*<1),改进型(过滤产出率) γ_f/(1-Q),166643856.72012508,5000684392.061926,3.088634301648591,0.09610414707356485,30.008213266814103,,,
1e+19,30000,filter,228215813.68994272,2545902504.387475,0.8823714128630801,3.033235433284407,11.155679631589312,3.4860912696843034e+18,3.0278174606313933e+18,3.486091269684304e+18,0.3486091269684303,0.30278174606313935,0.3486091269684304,False,False,False,p_ref,R1 质量内点(Q0<Q*<1),改进型(过滤产出率) γ_f/(1-Q),166643867.91232502,5000684056.204025,3.131276803926818,0.09804137064241125,30.008209235967772,,,
1e+22,2048,exp,4732522368.410889,296079948121.0716,1.0,2.0374914578481724,62.56282064240742,8.407229863925441e+21,1.0188365773639161e+21,5.7393355871064346e+20,0.8407229863925441,0.1018836577363916,0.057393355871064346,False,True,False,p*,R2 质量饱和(Q*=1),指数型 γe^{λQ},5009488775.369459,311440913498.0836,2.1233258400735577,0.08583438222538531,62.17019888922982,2.0374914578481684,3.9968028886505635e-15,3.299683082325089e-07
1e+22,2048,exp,4732522989.064613,296079913247.3549,1.0,2.0547077882723777,62.56280506856562,8.407229976260181e+21,1.0188364573604564e+21,5.739335663793617e+20,0.8407229976260181,0.10188364573604564,0.05739335663793617,False,True,False,p_ref,R2 质量饱和(Q*=1),指数型 γe^{λQ},5009487896.221599,311440968154.8906,2.1431965831968385,0.08848879492446082,62.17022071054302,2.054707788272375,2.6645352591003757e-15,2.96962054946448e-07
1e+22,4096,exp,4585648717.206884,288088615148.4222,1.0,2.0406722053129305,62.82396077733071,7.92643913098362e+21,9.913377129994162e+20,1.0822231560169636e+21,0.792643913098362,0.09913377129994162,0.10822231560169636,False,True,False,p*,R2 质量饱和(Q*=1),指数型 γe^{λQ},4871277461.102238,301039653121.10596,2.12753147844367,0.08685927313073938,61.79891322654999,,,
1e+22,4096,exp,4585646310.207418,288088751374.99133,1.0,2.0579906770133363,62.824023460710485,7.926438718529949e+21,9.913381817667621e+20,1.082223099703289e+21,0.7926438718529949,0.09913381817667621,0.1082223099703289,False,True,False,p_ref,R2 质量饱和(Q*=1),指数型 γe^{λQ},4871274677.852342,301039825123.023,2.1475273564792112,0.08953667946587496,61.79898384538359,,,
1e+22,8192,exp,4329334373.463891,273895508866.6796,1.0,2.046587164950572,63.265039204522424,7.1147114476434e+21,9.424980130534414e+20,1.9427905393031578e+21,0.71147114476434,0.09424980130534415,0.19427905393031578,False,True,False,p*,R2 质量饱和(Q*=1),指数型 γe^{λQ},4627960592.8338375,282883717354.6078,2.135339202385677,0.08875203743510518,61.12491921228519,,,
