index,arxiv,freelaw,nih_exporter,pubmed_central,wikipedia_en,dm_mathematics,github,philpapers,stackexchange,enron_emails,gutenberg_pg_19,pile_cc,ubuntu_irc,europarl,hackernews,pubmed_abstracts,uspto_backgrounds,loss_arxiv,loss_freelaw,loss_pubmed_central,loss_wikipedia_en,loss_dm_mathematics,loss_github,loss_stackexchange,loss_gutenberg_pg_19,loss_pile_cc,loss_ubuntu_irc,loss_hackernews,loss_pubmed_abstracts,loss_uspto_backgrounds,raw_sum,L_avg
25,0.0,0.2962962962962963,0.0,0.11311311311311312,0.0,0.0,0.0,0.009009009009009009,0.5525525525525526,0.0,0.0,0.0,0.021021021021021023,0.001001001001001001,0.0,0.007007007007007007,0.0,1.7058,1.4533,1.5506,2.1382,1.7232,1.675,1.4232,1.9355,1.9921,1.8582,1.8851,1.8784,1.9163,0.999,1.7796076923076924
26,0.3773773773773773,0.0030030030030030025,0.002002002002002002,0.5145145145145145,0.052052052052052045,0.0,0.001001001001001001,0.0,0.005005005005005005,0.0,0.0,0.001001001001001001,0.02002002002002002,0.0,0.0,0.014014014014014012,0.01001001001001001,1.3732,2.0121,1.4237,1.9713,1.9206,2.1658,2.0047,2.1644,2.1019,2.0306,2.0971,1.7679,1.8155,0.9990000000000001,1.9114461538461542
27,0.0,0.258,0.0,0.234,0.101,0.011,0.029,0.008,0.001,0.001,0.125,0.004,0.003,0.0,0.066,0.158,0.001,2.1256,1.6039,1.5747,1.9992,0.9298,1.9218,2.0749,1.8477,2.1098,2.3167,1.8516,1.8076,2.0307,1.0,1.861076923076923
28,0.013013013013013013,0.31931931931931934,0.0,0.0,0.003003003003003003,0.15315315315315314,0.014014014014014014,0.055055055055055056,0.33433433433433435,0.0,0.06506506506506507,0.02902902902902903,0.0,0.0,0.0,0.0,0.014014014014014014,1.6015,1.439,2.0701,2.0128,0.6287,1.5871,1.4806,1.7272,1.9497,2.4732,1.865,2.1537,1.7944,0.999,1.7525384615384614
29,0.001998001998001998,0.0,0.0,0.000999000999000999,0.0,0.0,0.0,0.0,0.0,0.0,0.3006993006993007,0.010989010989010986,0.0,0.011988011988011986,0.0,0.000999000999000999,0.6723276723276723,1.5444,1.6447,1.5731,1.7241,1.6231,2.2234,1.9493,1.3043,1.6259,2.2647,1.6218,1.5332,1.1278,1.0010000000000001,1.6738307692307695
30,0.0,0.0009990009990009992,0.0,0.0019980019980019984,0.15084915084915085,0.0,0.14185814185814186,0.0,0.0,0.0,0.2787212787212788,0.0,0.003996003996003997,0.0,0.0,0.0,0.4215784215784216,2.1942,1.8404,1.8095,1.6859,1.8046,1.4412,1.7355,1.5395,1.8402,2.0278,1.8216,1.8469,1.383,1.001,1.766946153846154
31,0.082,0.013,0.0,0.006,0.308,0.001,0.003,0.0,0.0,0.0,0.372,0.062,0.0,0.0,0.01,0.142,0.001,1.523,1.7361,1.72,1.7295,1.3172,2.0454,2.0455,1.6235,1.9046,2.6725,1.7734,1.705,1.8665,1.0,1.820169230769231
32,0.0,0.9449449449449449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028028028028028028,0.0,0.001001001001001001,0.0,0.007007007007007007,0.019019019019019017,2.0256,0.9749,1.7385,1.5767,1.6111,1.9269,1.793,1.3925,1.4675,1.996,1.4682,1.4887,1.3144,0.999,1.5979999999999999
33,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.0,0.0,0.0,0.4,0.214,0.0,0.0,0.0,0.001,0.0,2.0081,1.7163,1.9626,1.7789,1.6543,1.2204,1.5189,1.4155,1.6518,2.1999,1.6133,1.8795,1.7329,1.0,1.7194153846153846
34,0.0,0.01898101898101898,0.001998001998001998,0.016983016983016984,0.0,0.0,0.7712287712287712,0.000999000999000999,0.042957042957042946,0.000999000999000999,0.023976023976023973,0.0,0.020979020979020976,0.1008991008991009,0.0,0.0,0.0,1.891,1.7438,1.7656,2.1739,1.7419,1.2368,1.5367,1.8104,2.0294,1.7794,1.868,2.0677,2.024,1.0010000000000001,1.8206615384615383
35,0.0,0.0,0.0,0.003,0.346,0.194,0.0,0.0,0.445,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,1.7655,2.0615,1.9235,1.7146,0.6258,1.6926,1.444,2.033,1.9371,1.9569,1.9331,2.1253,1.9649,1.0,1.782907692307692
36,0.5775775775775776,0.0,0.016016016016016016,0.13613613613613615,0.0,0.007007007007007007,0.0,0.0,0.13213213213213215,0.0,0.06606606606606608,0.0,0.06406406406406406,0.001001001001001001,0.0,0.0,0.0,1.4513,2.4423,1.7185,2.5116,0.988,2.1142,1.793,2.0147,2.3305,1.9838,2.1823,2.1153,2.1819,0.999,1.9867230769230768
37,0.005010020040080159,0.013026052104208413,0.040080160320641274,0.18436873747494986,0.3426853707414829,0.06813627254509017,0.029058116232464924,0.0,0.013026052104208413,0.0,0.0060120240480961915,0.0030060120240480957,0.0,0.0020040080160320635,0.024048096192384766,0.07715430861723445,0.19238476953907813,1.9338,1.9516,1.6248,1.9229,0.7696,1.9283,2.0062,2.0613,2.1816,2.9153,1.9633,1.8764,1.7184,0.9980000000000002,1.911807692307692
38,0.009009009009009009,0.015015015015015015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6486486486486487,0.0,0.06606606606606608,0.0,0.008008008008008008,0.25325325325325326,1.676,1.6417,2.0231,1.904,1.8552,2.2089,2.0113,1.7564,1.742,2.2539,1.7642,1.8226,1.4701,0.999,1.856107692307692
39,0.0,0.042,0.046,0.007,0.37,0.02,0.002,0.006,0.457,0.0,0.008,0.004,0.0,0.0,0.014,0.0,0.024,1.844,1.7229,1.8426,1.792,0.8066,1.7098,1.5208,1.914,2.0175,2.6107,1.8149,2.0096,1.8041,1.0,1.8007307692307692
40,0.04095904095904095,0.48651348651348647,0.0,0.35964035964035956,0.0,0.0,0.0,0.0,0.042957042957042946,0.0,0.0,0.03796203796203796,0.0,0.0,0.000999000999000999,0.030969030969030965,0.0,1.4871,1.3547,1.3773,2.0249,1.7757,1.8922,1.6771,1.8496,1.9014,2.5401,1.8054,1.6731,1.8158,1.0010000000000001,1.782646153846154
41,0.034,0.0,0.002,0.005,0.02,0.011,0.783,0.016,0.001,0.0,0.061,0.022,0.011,0.015,0.001,0.01,0.008,1.6296,2.1327,1.9097,2.0438,0.8833,1.3072,1.6922,1.8319,2.0397,2.0148,1.9137,2.051,1.9105,1.0,1.796930769230769
42,0.005994005994005993,0.000999000999000999,0.000999000999000999,0.02597402597402597,0.10889110889110888,0.011988011988011986,0.37562437562437556,0.0,0.0,0.0,0.029970029970029965,0.000999000999000999,0.0,0.11388611388611387,0.11888111888111887,0.021978021978021973,0.18381618381618378,1.8592,2.1192,1.7777,1.9713,0.9095,1.4838,1.8293,1.9112,2.1182,2.6642,1.7841,1.9795,1.6713,1.0010000000000001,1.8521923076923075
43,0.3266733266733267,0.0,0.032967032967032975,0.0,0.14485514485514486,0.08291708291708293,0.006993006993006994,0.0,0.13086913086913088,0.0019980019980019984,0.19980019980019983,0.034965034965034975,0.0,0.018981018981018984,0.003996003996003997,0.0,0.014985014985014986,1.4773,2.1971,2.139,1.9769,0.7406,1.8696,1.7462,1.8293,2.125,2.7305,1.9572,2.1554,1.9399,1.001,1.914153846153846
44,0.002999999999999999,0.18999999999999995,0.0,0.5059999999999999,0.0,0.05099999999999998,0.05699999999999999,0.0019999999999999996,0.13999999999999999,0.0,0.004999999999999999,0.003999999999999999,0.0,0.041999999999999996,0.0,0.0,0.0,1.7381,1.5567,1.437,2.2164,0.7165,1.6102,1.6363,1.9583,2.0921,2.5587,1.9843,1.8277,1.9416,1.0000000000000002,1.7903
45,0.903096903096903,0.023976023976023973,0.016983016983016984,0.0,0.0,0.001998001998001998,0.0,0.000999000999000999,0.044955044955044945,0.001998001998001998,0.000999000999000999,0.004995004995004994,0.0,0.0,0.0,0.0,0.0,1.0486,1.471,1.7161,1.8941,0.9507,1.6402,1.4474,1.7199,1.7775,2.2368,1.6834,1.7145,1.6411,1.0010000000000001,1.6108692307692312
