C,N_opt_B,D_opt_B,Q,cost_form,dL_per_FLOP_via_N,dL_per_FLOP_via_D,dL_per_FLOP_via_Q,ratio_Q_over_N,better,g_prime,FLOPs_per_token_for_0p01Q
1e+22,5.161158109121752,322.9249388273972,0.6805,幂函数型 γQ^λ,6.887879425487852e-24,6.887879423045361e-24,1.437183887592563e-22,20.86540426759533,质量,6302289299.492483,63022892.994924836
1e+22,5.161158109121752,322.9249388273972,0.6805,对数渐进型 γln(1+λQ),6.887879425487852e-24,6.887879423045361e-24,3.5346703928722405e-22,51.3172512833569,质量,2562487482.409226,25624874.82409226
1e+22,5.161158109121752,322.9249388273972,0.8,指数型 γe^{λQ},6.225938715243017e-24,6.454163579805438e-24,1.2423555693417327e-22,19.954510093394646,质量,7290625051.124098,72906250.51124097
1e+22,5.161158109121752,322.9249388273972,0.8,幂函数型 γQ^λ,6.225938715243017e-24,6.454163579805438e-24,8.845262340084351e-23,14.207114372051917,质量,10240000000.000002,102400000.00000001
1e+22,5.161158109121752,322.9249388273972,0.8,对数渐进型 γln(1+λQ),6.225938715243017e-24,6.454163579805438e-24,4.07589688631087e-22,65.46638302641524,质量,2222222222.2222223,22222222.222222224
1e+22,5.161158109121752,322.9249388273972,0.9,指数型 γe^{λQ},5.67205228807488e-24,6.091246908868086e-24,6.818191926209622e-23,12.020678900553202,质量,13284384972.25123,132843849.7225123
1e+22,5.161158109121752,322.9249388273972,0.9,幂函数型 γQ^λ,5.67205228807488e-24,6.091246908868086e-24,6.212310450100394e-23,10.952491504990835,质量,14580000000.000002,145800000.00000003
1e+22,5.161158109121752,322.9249388273972,0.9,对数渐进型 γln(1+λQ),5.67205228807488e-24,6.091246908868086e-24,4.528774318123189e-22,79.8436630713832,质量,2000000000.0,20000000.0
1e+24,41.31198260275163,4034.342003609521,0.6805,指数型 γe^{λQ},3.3958656392441e-26,3.395865638022854e-26,1.0042705659685893e-23,295.73330415750314,质量,3559211346.045342,35592113.46045342
1e+24,41.31198260275163,4034.342003609521,0.6805,幂函数型 γQ^λ,3.3958656392441e-26,3.395865638022854e-26,5.671607606433782e-24,167.01507683019662,质量,6302289299.492483,63022892.994924836
1e+24,41.31198260275163,4034.342003609521,0.6805,对数渐进型 γln(1+λQ),3.3958656392441e-26,3.395865638022854e-26,1.3948989867978412e-23,410.7638920332365,质量,2562487482.409226,25624874.82409226
1e+24,41.31198260275163,4034.342003609521,0.8,指数型 γe^{λQ},3.069515310816229e-26,3.182034843729475e-26,4.902749994489406e-24,159.7239139747341,质量,7290625051.124098,72906250.51124097
1e+24,41.31198260275163,4034.342003609521,0.8,幂函数型 γQ^λ,3.069515310816229e-26,3.182034843729475e-26,3.490635930588183e-24,113.71945004763543,质量,10240000000.000002,102400000.00000001
1e+24,41.31198260275163,4034.342003609521,0.8,对数渐进型 γln(1+λQ),3.069515310816229e-26,3.182034843729475e-26,1.6084850368150346e-23,524.0192258195041,质量,2222222222.2222223,22222222.222222224
1e+24,41.31198260275163,4034.342003609521,0.9,指数型 γe^{λQ},2.796437957086617e-26,3.0031094915283764e-26,2.6906862458357107e-24,96.21834230282441,质量,13284384972.25123,132843849.7225123
1e+24,41.31198260275163,4034.342003609521,0.9,幂函数型 γQ^λ,2.796437957086617e-26,3.0031094915283764e-26,2.451585180330795e-24,87.66814132665056,质量,14580000000.000002,145800000.00000003
1e+24,41.31198260275163,4034.342003609521,0.9,对数渐进型 γln(1+λQ),2.796437957086617e-26,3.0031094915283764e-26,1.7872055964611496e-23,639.1007502712827,质量,2000000000.0,20000000.0
