N_B,tokens_per_param,Q,dQ,dL_gain,gain_over_Nterm,N_equiv_multiplier,extra_params_B,substitutable_by_N,gain_over_Dterm,D_equiv_multiplier,substitutable_by_D
7.0,100,0.5,0.1,0.025121233802987142,0.12011007552004667,1.4569489385608878,3.1986425699262147,True,0.11583888283618103,1.5520921777569252,True
7.0,100,0.6805,0.1,0.025121233802987142,0.13754305681167447,1.5452743587200248,3.816920511040174,True,0.12685510738744304,1.6231551143448526,True
7.0,100,0.8,0.1,0.025121233802987142,0.15216661044089275,1.6249844620884248,4.374891234618974,True,0.13537969297804028,1.6810249168603109,True
7.0,100,0.9,0.1,0.025121233802987142,0.1670259622123564,1.7117266752442069,4.982086726709448,True,0.14344561908625997,1.7382348015621991,True
7.0,100,0.5,0.3,0.07536370140896187,0.36033022656014213,3.721449801836942,19.050148612858592,True,0.34751664850854513,4.593114669386168,True
7.0,100,0.5,0.5,0.12560616901493615,0.6005503776002354,14.864772070912359,97.05340449638652,True,0.5791944141809072,21.992402606040397,True
7.0,100,0.6805,0.3,0.07536370140896143,0.4126291704350234,4.782581291817541,26.478069042722787,True,0.3805653221623291,5.529817667870338,True
7.0,1000,0.5,0.1,0.020162262555033506,0.09640015682080562,1.347350424000139,2.4314529680009733,True,0.1771796609192328,2.0063928522297627,True
7.0,1000,0.6805,0.1,0.02016226255503395,0.11039184005879421,1.4106323898967303,2.874426729277112,True,0.19402936529149897,2.16023550687293,True
7.0,1000,0.8,0.1,0.020162262555033728,0.12212868109423831,1.46682423929561,3.2677696750692693,True,0.20706801990762425,2.2897760955602013,True
7.0,1000,0.9,0.1,0.02016226255503395,0.1340547733460555,1.5270377400883273,3.6892641806182906,True,0.2194051386527636,2.421642381242895,True
7.0,1000,0.5,0.3,0.060486787665101405,0.2892004704624211,2.7291868888626403,12.104308222038481,True,0.5315389827577062,14.993712596123094,True
7.0,1000,0.5,0.5,0.10081131277516908,0.4820007841040355,6.921491870386391,41.45044309270474,True,0.8858983045961777,2323.1547740050514,True
7.0,1000,0.6805,0.3,0.06048678766510163,0.3311755201763814,3.2642422106643454,15.849695474650417,True,0.5820880958744947,22.540992321663023,True
12.0,5,0.5,0.1,0.03298959085448505,0.18945432687000005,1.854806809860594,10.25768171832713,True,0.07645042786931568,1.3284017193995965,True
12.0,5,0.6805,0.1,0.03298959085448461,0.21695205111704757,2.0529761875789214,12.635714250947057,True,0.08372082844490947,1.3664234625322753,True
12.0,5,0.8,0.1,0.03298959085448505,0.24001835506595193,2.2416893684214285,14.900272421057142,True,0.08934681688552258,1.3968060137045055,True
12.0,5,0.9,0.1,0.03298959085448461,0.2634565926609062,2.458040323115008,17.496483877380097,True,0.09467010287583714,1.426354552630065,True
12.0,5,0.5,0.3,0.09896877256345515,0.5683629806100001,11.83502246015398,130.02026952184775,True,0.22935128360794704,2.535103903548608,True
12.0,5,0.5,0.5,0.1649479542724248,0.9472716343499977,5736.5897956458675,68827.0775477504,True,0.38225213934657737,5.583922788502298,True
12.0,5,0.6805,0.3,0.09896877256345471,0.6508561533511485,22.084655836089034,253.0158700330684,True,0.2511624853347306,2.8087798235665637,True
12.0,20,0.5,0.1,0.026309373071745412,0.15109082703284216,1.6189353020342563,7.427223624411075,True,0.08989326139870922,1.3998029120845967,True
12.0,20,0.6805,0.1,0.026309373071745412,0.17302040745809544,1.7484766245311028,8.981719494373234,True,0.09844206926846338,1.4477776865483387,True
12.0,20,0.8,0.1,0.026309373071745412,0.1914159067734626,1.8680721431511447,10.416865717813735,True,0.10505731608411968,1.4863541391297703,True
12.0,20,0.9,0.1,0.026309373071745412,0.21010802513740162,2.0010977672666246,12.013173207199495,True,0.11131663408094689,1.524074658925827,True
12.0,20,0.5,0.3,0.07892811921523668,0.453272481098529,5.905461899205615,58.86554279046737,True,0.2696797841961292,3.0714672629728956,True
12.0,20,0.5,0.5,0.1315468653587275,0.7554541351642133,62.93922103747807,743.2706524497369,True,0.4494663069935476,8.424991152620299,True
12.0,20,0.6805,0.3,0.07892811921523668,0.5190612223742892,8.610338206300899,91.32405847561078,True,0.2953262078053918,3.489642403058493,True
12.0,100,0.5,0.1,0.021199955785156543,0.12174820144532195,1.4649560349919384,5.579472419903261,True,0.11368573527482145,1.5386708912654978,True
12.0,100,0.6805,0.1,0.02119995578515632,0.13941894312869732,1.5552022115517385,6.6624265386208625,True,0.12449719648196839,1.6076000050859838,True
12.0,100,0.8,0.1,0.021199955785156543,0.15424194066148603,1.636739950795839,7.640879409550067,True,0.1328633319025843,1.6636714533469872,True
12.0,100,0.9,0.1,0.02119995578515632,0.16930395227862882,1.7255692217417606,8.706830660901128,True,0.14077933314356617,1.7190514426460997,True
12.0,100,0.5,0.3,0.06359986735546963,0.36524460433596584,3.806828578911606,33.68194294693927,True,0.34105720582446436,4.434361162004994,True
12.0,100,0.5,0.5,0.1059997789257825,0.6087410072266084,15.798714411871751,177.58457294246102,True,0.5684286763741061,20.095499193211193,True
12.0,100,0.6805,0.3,0.06359986735546963,0.4182568293860964,4.9199368510054775,47.03924221206573,True,0.3734915894459091,5.310098180846777,True
12.0,1000,0.5,0.1,0.016935791136171163,0.0972597363776643,1.3511272037068467,4.21352644448216,True,0.17307634457920618,1.9710695698792486,True
12.0,1000,0.6805,0.1,0.01693579113617094,0.11137618045913779,1.4152330968291846,4.982797161950216,True,0.189535825452241,2.117772969213693,True
12.0,1000,0.8,0.1,0.01693579113617094,0.12321767639296566,1.4721890234255086,5.666268281106103,True,0.2022725169408808,2.241005099326171,True
12.0,1000,0.9,0.1,0.016935791136171163,0.13525011105573892,1.5332542828294122,6.399051393952947,True,0.21432391947755064,2.3661838248487532,True
12.0,1000,0.5,0.3,0.05080737340851349,0.2917792091329929,2.7585175805997135,21.102210967196562,True,0.5192290337376185,13.667422898540925,True
12.0,1000,0.5,0.5,0.0846789556808556,0.4862986818883202,7.093196971380455,73.11836365656546,True,0.8653817228960285,1287.250336899021,True
12.0,1000,0.6805,0.3,0.05080737340851327,0.3341285413774163,3.307002731849779,27.68403278219735,True,0.568607476356728,20.125255022184596,True
70.0,5,0.5,0.1,0.019382817636774075,0.20274910655473208,1.9472575350700274,66.30802745490192,True,0.07360773959309184,1.3139040806652824,True
70.0,5,0.6805,0.1,0.019382817636774075,0.23217645780864893,2.175018033640525,82.25126235483675,True,0.08060780181930532,1.3499750669513388,True
70.0,5,0.8,0.1,0.019382817636773852,0.25686141800155143,2.394431774108186,97.61022418757302,True,0.08602459677561516,1.3787614195465576,True
70.0,5,0.9,0.1,0.019382817636774075,0.2819444119352639,2.648866525656057,115.42065679592397,True,0.09114994479360926,1.4067263100538117,True
70.0,5,0.5,0.3,0.058148452910322446,0.6082473196641985,15.740229050279673,1031.816033519577,True,0.22082321877927635,2.4374162247532296,True
70.0,5,0.5,0.5,0.09691408818387037,1.0137455327736604,inf,inf,False,0.3680386979654592,5.148303397588245,True
70.0,5,0.6805,0.3,0.058148452910322224,0.6965293734259468,33.35572002562892,2264.900401794024,True,0.24182340545791597,2.687185723109082,True
